Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
2090618,695.0,3029.0,3584.0,4095.0,4095.0,4095.0,4004.0,4095.0
2090718,664.0,2864.0,3663.0,4095.0,4095.0,4095.0,4076.0,4095.0
2090818,779.0,2716.0,2538.0,4095.0,4095.0,4095.0,4069.0,4095.0
2090918,734.0,2145.0,1984.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091018,736.0,2072.0,1967.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091118,736.0,2068.0,1936.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091218,714.0,2092.0,1992.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091318,625.0,2137.0,1991.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091418,544.0,2052.0,1920.0,4095.0,4095.0,4095.0,4095.0,4095.0
2091518,511.0,2121.0,1935.0,4095.0,3776.0,3423.0,4095.0,4095.0
2091618,495.0,2096.0,1981.0,4095.0,3613.0,3159.0,4095.0,4095.0
2091718,416.0,2004.0,1864.0,4095.0,3427.0,2942.0,4095.0,4095.0
2091818,383.0,2016.0,1945.0,4095.0,3240.0,2685.0,4087.0,4095.0
2091918,303.0,2079.0,1814.0,4095.0,3165.0,2662.0,4075.0,4095.0
2092018,287.0,2247.0,1751.0,4095.0,3043.0,2613.0,3949.0,4095.0
2092168,341.0,2138.0,1789.0,4095.0,2975.0,2473.0,3838.0,4095.0
2092268,325.0,2172.0,1814.0,4095.0,2960.0,2511.0,3809.0,4095.0
2092368,351.0,2247.0,1811.0,4095.0,2983.0,2360.0,3861.0,4095.0
2092468,307.0,2195.0,1680.0,4095.0,2925.0,2352.0,3795.0,4095.0
2092568,304.0,2112.0,1753.0,4095.0,2944.0,2375.0,3690.0,4095.0
2092668,331.0,2172.0,1798.0,4095.0,2926.0,2405.0,3663.0,4095.0
2092768,288.0,2149.0,1664.0,4095.0,2965.0,2337.0,3689.0,4095.0
2092868,319.0,2129.0,1757.0,4095.0,2877.0,2304.0,3716.0,4095.0
2092968,331.0,2143.0,1776.0,4095.0,2989.0,2403.0,3619.0,4095.0
2093068,320.0,2093.0,1704.0,4095.0,2860.0,2336.0,3707.0,4095.0
2093168,302.0,2115.0,1708.0,4095.0,2848.0,2361.0,3612.0,4095.0
2093268,318.0,2133.0,1692.0,4095.0,2944.0,2399.0,3637.0,4095.0
2093368,323.0,2184.0,1775.0,4095.0,2961.0,2381.0,3617.0,4095.0
2093468,323.0,2176.0,1779.0,4095.0,2935.0,2395.0,3627.0,4095.0
2093568,320.0,2127.0,1660.0,4095.0,2936.0,2361.0,3592.0,4095.0
2093668,291.0,2183.0,1648.0,4095.0,2931.0,2339.0,3597.0,4095.0
2093768,295.0,2176.0,1666.0,4095.0,2893.0,2381.0,3631.0,4095.0
2093868,311.0,2183.0,1687.0,4095.0,2889.0,2313.0,3723.0,4095.0
2093968,335.0,2186.0,1775.0,4095.0,2889.0,2304.0,3645.0,4095.0
2094068,327.0,2124.0,1735.0,4095.0,2854.0,2372.0,3627.0,4095.0
2094168,331.0,2080.0,1731.0,4095.0,2907.0,2348.0,3712.0,4095.0
2094268,296.0,2180.0,1667.0,4095.0,2913.0,2319.0,3695.0,4095.0
2094368,341.0,2215.0,1747.0,4095.0,2891.0,2419.0,3743.0,4095.0
2094468,282.0,2536.0,2208.0,4095.0,3271.0,2706.0,4044.0,4095.0
2094568,269.0,3291.0,3859.0,4095.0,3325.0,2997.0,4095.0,4095.0
2094668,163.0,3230.0,3843.0,4095.0,3103.0,2616.0,3861.0,4095.0
2094768,0.0,4095.0,4095.0,4095.0,2727.0,2296.0,3677.0,4095.0
2094868,0.0,4095.0,4095.0,4095.0,2723.0,2288.0,3655.0,4095.0
2094968,0.0,4095.0,4095.0,4095.0,2775.0,2232.0,3587.0,4095.0
2095068,73.0,3752.0,4095.0,4095.0,3751.0,2629.0,4055.0,4095.0
2095168,247.0,2580.0,1759.0,4095.0,4095.0,4095.0,4095.0,4095.0
2095268,232.0,2552.0,1765.0,4095.0,4095.0,4095.0,4095.0,4095.0
2095368,117.0,2213.0,1815.0,4095.0,4095.0,4095.0,4095.0,4095.0
2095468,137.0,2012.0,1807.0,4095.0,4095.0,4095.0,4095.0,4095.0
2095568,136.0,2464.0,1621.0,4095.0,4095.0,4095.0,4095.0,4095.0
2095668,0.0,4095.0,4095.0,4095.0,3118.0,2707.0,4032.0,4095.0
2095768,0.0,4095.0,4095.0,4095.0,2846.0,2624.0,3973.0,4095.0
2095868,0.0,4095.0,4095.0,4095.0,2857.0,2494.0,3995.0,4095.0
2095968,0.0,4095.0,4095.0,4095.0,2637.0,2281.0,3703.0,4095.0
2096068,0.0,4095.0,4095.0,4095.0,2716.0,2248.0,3464.0,4095.0
2096168,107.0,3888.0,4088.0,4095.0,4095.0,4095.0,3111.0,4095.0
2096268,672.0,3445.0,3547.0,4095.0,4095.0,4095.0,4095.0,4095.0
2096368,627.0,2108.0,1985.0,4095.0,4095.0,4095.0,4095.0,4095.0
2096468,332.0,2304.0,2208.0,4095.0,4095.0,4095.0,4095.0,4095.0
