Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
2854002,248.0,2092.0,1592.0,4095.0,2336.0,1992.0,3031.0,4095.0
2854252,265.0,2075.0,1703.0,4095.0,2581.0,2140.0,3331.0,4095.0
2854352,248.0,2108.0,1679.0,4095.0,2527.0,2143.0,3260.0,4095.0
2854452,289.0,2169.0,1646.0,4095.0,2496.0,2167.0,3247.0,4095.0
2854552,267.0,2117.0,1719.0,4095.0,2543.0,2169.0,3287.0,4095.0
2854652,289.0,2187.0,1664.0,4095.0,2539.0,2163.0,3287.0,4095.0
2854752,273.0,2066.0,1723.0,4095.0,2577.0,2159.0,3321.0,4095.0
2854852,279.0,2151.0,1711.0,4095.0,2570.0,2128.0,3307.0,4095.0
2854952,271.0,2115.0,1725.0,4095.0,2552.0,2145.0,3226.0,4095.0
2855052,239.0,2096.0,1771.0,4095.0,2488.0,2187.0,3190.0,4095.0
2855152,216.0,3035.0,2795.0,4095.0,2673.0,2139.0,3240.0,4095.0
2855252,21.0,3968.0,4095.0,4095.0,2699.0,2122.0,3245.0,4095.0
2855352,0.0,4095.0,4095.0,4095.0,2560.0,2136.0,3167.0,4095.0
2855452,0.0,4095.0,4095.0,4095.0,2579.0,2096.0,3173.0,4095.0
2855552,0.0,4095.0,4095.0,4095.0,2599.0,2116.0,3220.0,4095.0
2855652,0.0,4095.0,4095.0,4095.0,2543.0,2135.0,3209.0,4095.0
2855752,0.0,4095.0,4095.0,4095.0,2528.0,2131.0,3193.0,4095.0
2855902,104.0,2586.0,2188.0,4095.0,2535.0,2139.0,3310.0,4095.0
2856002,153.0,2235.0,2015.0,4095.0,2727.0,2332.0,3879.0,4095.0
2856102,147.0,2184.0,1823.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856202,175.0,2199.0,1775.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856302,171.0,2373.0,1719.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856402,183.0,2292.0,1729.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856502,231.0,2299.0,1712.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856602,239.0,2319.0,1703.0,4095.0,4095.0,4095.0,4095.0,4095.0
2856702,216.0,2336.0,1699.0,3427.0,4095.0,4095.0,4095.0,4095.0
2856802,241.0,2351.0,1755.0,1360.0,4095.0,4095.0,4095.0,4095.0
2856902,259.0,2105.0,1883.0,480.0,4095.0,4095.0,4095.0,4095.0
2857002,256.0,2105.0,1799.0,302.0,4095.0,4095.0,4095.0,4095.0
2857102,260.0,2024.0,1823.0,231.0,4095.0,4095.0,4095.0,4095.0
2857202,175.0,2313.0,1772.0,210.0,2912.0,2185.0,3704.0,4095.0
2857302,104.0,2204.0,1835.0,214.0,3137.0,2107.0,3633.0,4095.0
2857402,145.0,2329.0,1872.0,207.0,2853.0,2138.0,3513.0,4095.0
2857502,181.0,2352.0,2073.0,203.0,2837.0,2087.0,3488.0,4095.0
2857602,136.0,2423.0,1973.0,235.0,2807.0,2158.0,3630.0,4095.0
2857702,193.0,2335.0,1980.0,205.0,2787.0,2157.0,3619.0,4095.0
2857802,207.0,2309.0,1979.0,201.0,2720.0,2118.0,3480.0,4095.0
2857902,207.0,2425.0,1925.0,245.0,2723.0,2158.0,3539.0,4095.0
2858002,167.0,2304.0,1993.0,252.0,2749.0,2115.0,3530.0,4095.0
2858102,193.0,2336.0,2155.0,202.0,2743.0,2096.0,3545.0,4095.0
2858202,169.0,2629.0,2321.0,207.0,2755.0,2155.0,3567.0,4095.0
2858302,215.0,2455.0,2213.0,215.0,2648.0,2163.0,3461.0,4095.0
2858402,208.0,2575.0,2240.0,220.0,2705.0,2137.0,3492.0,4095.0
2858502,225.0,2453.0,2288.0,223.0,2647.0,2143.0,3426.0,4095.0
2858602,223.0,2426.0,2283.0,225.0,2699.0,2144.0,3449.0,4095.0
2858702,231.0,2440.0,2275.0,212.0,2691.0,2141.0,3455.0,4095.0
2858802,227.0,2512.0,2335.0,211.0,2671.0,2112.0,3405.0,4095.0
2858902,224.0,2547.0,2179.0,248.0,2639.0,2112.0,3435.0,4095.0
2859002,236.0,2517.0,2119.0,269.0,2700.0,2135.0,3424.0,4095.0
2859102,248.0,2457.0,2152.0,247.0,2620.0,2163.0,3407.0,4095.0
2859202,240.0,2519.0,2113.0,265.0,2631.0,2168.0,3411.0,4095.0
2859302,261.0,2453.0,2110.0,243.0,2707.0,2100.0,3452.0,4095.0
2859402,247.0,2408.0,2221.0,257.0,2629.0,2167.0,3405.0,4095.0
