Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
1733518,0.0,4095.0,3731.0,4095.0,2795.0,2191.0,3385.0,4095.0
1733618,0.0,3835.0,3415.0,4095.0,2783.0,2287.0,3447.0,4095.0
1733718,10.0,3863.0,3439.0,4095.0,2712.0,2204.0,3349.0,4095.0
1733818,103.0,3483.0,3255.0,4095.0,2779.0,2219.0,3307.0,4095.0
1733918,464.0,3160.0,3179.0,4095.0,2796.0,2228.0,3367.0,4095.0
1734018,735.0,3032.0,3281.0,4095.0,3190.0,2190.0,3297.0,4095.0
1734118,763.0,2873.0,2592.0,4095.0,3299.0,2252.0,3499.0,4095.0
1734218,371.0,2089.0,1496.0,4095.0,4095.0,4095.0,3387.0,4095.0
1734318,300.0,2192.0,1568.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734418,272.0,2032.0,1468.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734518,300.0,2165.0,1567.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734618,343.0,2051.0,1503.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734718,408.0,2016.0,1472.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734818,344.0,2353.0,1688.0,4095.0,4095.0,4095.0,4095.0,4095.0
1734918,200.0,2295.0,1605.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735018,199.0,2051.0,1747.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735118,144.0,2347.0,1655.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735218,143.0,2313.0,1585.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735318,224.0,2148.0,1472.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735418,325.0,2185.0,1495.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735518,352.0,2040.0,1532.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735618,320.0,2172.0,1553.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735718,248.0,2080.0,1452.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735818,234.0,2120.0,1491.0,4095.0,4095.0,4095.0,4095.0,4095.0
1735918,211.0,2363.0,1439.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736018,241.0,2277.0,1519.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736118,224.0,2080.0,1509.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736218,215.0,2183.0,1429.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736318,151.0,2487.0,1463.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736418,160.0,2496.0,1511.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736518,139.0,2531.0,1491.0,4095.0,4095.0,4095.0,4095.0,4095.0
1736618,123.0,2529.0,1465.0,4095.0,3293.0,2412.0,3768.0,4095.0
1736718,105.0,2529.0,1509.0,4095.0,3059.0,2264.0,3429.0,4095.0
1736818,18.0,3429.0,3111.0,4095.0,3020.0,2144.0,3366.0,4095.0
1736918,0.0,4095.0,4095.0,4095.0,2983.0,2150.0,3152.0,4095.0
1737018,0.0,3835.0,3367.0,4095.0,2911.0,2134.0,3280.0,4095.0
1737118,0.0,4095.0,4095.0,4095.0,2843.0,2144.0,3317.0,4095.0
1737218,39.0,3615.0,2992.0,4095.0,3203.0,2269.0,3168.0,4095.0
1737318,16.0,3751.0,3103.0,3440.0,3112.0,2376.0,3313.0,4095.0
1737418,0.0,4095.0,4095.0,3355.0,2919.0,2230.0,3363.0,4095.0
1737518,0.0,4095.0,4095.0,3613.0,2923.0,2146.0,3276.0,4095.0
1737618,0.0,4095.0,4095.0,4095.0,2931.0,2180.0,3168.0,4095.0
1737718,0.0,4095.0,4095.0,4095.0,2841.0,2207.0,3257.0,4095.0
1737818,327.0,3813.0,4095.0,4095.0,2931.0,2200.0,3128.0,4095.0
1737918,315.0,3592.0,4095.0,4095.0,2939.0,2193.0,3158.0,4095.0
1738018,366.0,3416.0,3913.0,4095.0,2894.0,2188.0,3326.0,4095.0
1738118,501.0,3407.0,3968.0,4095.0,3087.0,2293.0,3292.0,4095.0
1738218,587.0,3369.0,3504.0,4095.0,3411.0,2595.0,3423.0,4095.0
1738318,603.0,3389.0,3465.0,4095.0,3924.0,2784.0,3465.0,4095.0
1738418,449.0,2263.0,1573.0,4095.0,4095.0,4095.0,4095.0,4095.0
1738518,346.0,2190.0,1543.0,4095.0,4095.0,4095.0,4095.0,4095.0
1738618,265.0,2197.0,1479.0,4095.0,4095.0,4095.0,4095.0,4095.0
1738718,295.0,2259.0,1545.0,4095.0,4095.0,4095.0,4095.0,4095.0
1738818,275.0,2136.0,1463.0,4095.0,4095.0,4095.0,4095.0,4095.0
1738918,240.0,2131.0,1408.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739018,175.0,2491.0,1509.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739118,96.0,2399.0,1392.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739218,99.0,2409.0,1399.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739318,128.0,2384.0,1472.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739418,119.0,2469.0,1455.0,4095.0,4095.0,4095.0,4095.0,4095.0
1739518,112.0,2385.0,1420.0,4095.0,4083.0,2998.0,4095.0,4095.0
1739618,140.0,2582.0,1549.0,4095.0,3193.0,2253.0,3448.0,4095.0
1739718,60.0,3493.0,2737.0,4095.0,3057.0,2191.0,3209.0,4095.0
1739818,0.0,4095.0,4095.0,4095.0,3054.0,2112.0,3149.0,4095.0
1739918,0.0,4095.0,4095.0,4095.0,3059.0,2112.0,3137.0,4095.0
1740018,0.0,4095.0,4095.0,4095.0,2972.0,2215.0,3016.0,4095.0
1740118,0.0,4095.0,4095.0,4095.0,2867.0,2112.0,3095.0,4095.0
1740218,48.0,3979.0,4095.0,4095.0,2816.0,2170.0,3131.0,4095.0
1740318,557.0,3040.0,3319.0,4095.0,2947.0,2423.0,3603.0,4095.0
1740418,588.0,2647.0,2343.0,4095.0,3225.0,2799.0,4095.0,4095.0
1740518,407.0,2199.0,1683.0,4095.0,4095.0,4095.0,4095.0,4095.0
1740618,241.0,2349.0,1545.0,4095.0,4095.0,4095.0,4095.0,4095.0
1740718,99.0,2371.0,1449.0,4095.0,4095.0,4095.0,4095.0,4095.0
1740818,119.0,2479.0,1451.0,4095.0,4095.0,4095.0,4095.0,4095.0
1740918,136.0,2523.0,1541.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741018,123.0,2461.0,1447.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741118,135.0,2471.0,1491.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741218,160.0,2400.0,1488.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741318,160.0,2271.0,1408.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741418,199.0,2244.0,1445.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741518,232.0,2196.0,1499.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741618,263.0,2292.0,1537.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741718,225.0,2259.0,1483.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741818,217.0,2263.0,1451.0,4095.0,4095.0,4095.0,4095.0,4095.0
1741918,235.0,2405.0,1515.0,4095.0,4095.0,4095.0,4095.0,4095.0
1742018,184.0,2424.0,1501.0,4095.0,4095.0,4095.0,4095.0,4095.0
1742118,155.0,2393.0,1481.0,4095.0,4095.0,4095.0,4095.0,4095.0
1742218,107.0,2427.0,1431.0,4095.0,3407.0,2650.0,3521.0,4095.0
1742318,96.0,2620.0,1652.0,4095.0,3111.0,2256.0,3160.0,4095.0
1742418,0.0,3811.0,3430.0,4095.0,3092.0,2296.0,3087.0,4095.0
1742518,8.0,4024.0,3616.0,4095.0,3019.0,2311.0,3008.0,4095.0
1742668,0.0,3911.0,3557.0,4095.0,2957.0,2248.0,3065.0,4095.0
1742768,4.0,4015.0,3605.0,4095.0,2939.0,2302.0,3011.0,4095.0
1742868,4.0,4003.0,3584.0,4095.0,2935.0,2294.0,3013.0,4095.0
1743068,18.0,4011.0,3488.0,4095.0,2919.0,2267.0,2975.0,4095.0
1743168,17.0,3916.0,3431.0,4095.0,2816.0,2259.0,2903.0,4095.0
1743334,575.0,3039.0,2874.0,4095.0,2816.0,2241.0,2891.0,4095.0
1743500,885.0,2933.0,3502.0,4095.0,2981.0,2346.0,3037.0,4095.0
1743600,923.0,2858.0,2768.0,4095.0,3415.0,2776.0,3453.0,4095.0
1743700,532.0,1955.0,1616.0,4095.0,4095.0,4095.0,4095.0,4095.0
1743800,396.0,1968.0,1583.0,4095.0,4095.0,4095.0,4095.0,4095.0
1743900,307.0,2016.0,1559.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744000,199.0,2151.0,1527.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744100,140.0,2581.0,1539.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744200,120.0,2016.0,1662.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744300,128.0,2444.0,1472.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744400,126.0,2400.0,1451.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744500,124.0,2400.0,1422.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744600,111.0,2515.0,1439.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744700,96.0,2413.0,1400.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744800,111.0,2559.0,1443.0,4095.0,4095.0,4095.0,4095.0,4095.0
1744900,117.0,2551.0,1461.0,4095.0,4095.0,4095.0,4095.0,4095.0
1745000,94.0,2429.0,1408.0,4095.0,4095.0,4095.0,4095.0,4095.0
1745150,128.0,2480.0,1518.0,4095.0,3753.0,3231.0,4095.0,4095.0
1745250,119.0,2703.0,1717.0,4095.0,3236.0,2465.0,3212.0,4095.0
1745350,13.0,4053.0,3424.0,4095.0,3029.0,2380.0,3051.0,4095.0
1745450,0.0,4095.0,4095.0,4095.0,2912.0,2378.0,2877.0,4095.0
1745550,0.0,4095.0,4095.0,4095.0,2883.0,2332.0,2865.0,4095.0
1745650,0.0,4095.0,4095.0,4095.0,2913.0,2367.0,2803.0,4095.0
1745750,0.0,4095.0,4095.0,4095.0,2844.0,2365.0,2824.0,4095.0
1745850,0.0,4095.0,4095.0,4095.0,2821.0,2268.0,2892.0,4095.0
1745950,0.0,3950.0,3799.0,4095.0,2839.0,2325.0,2787.0,4095.0
1746050,0.0,4095.0,4095.0,4095.0,2932.0,2343.0,2771.0,4095.0
1746150,635.0,3259.0,3911.0,4095.0,2987.0,2347.0,2749.0,4095.0
1746250,819.0,3095.0,3869.0,4095.0,3051.0,2355.0,2796.0,4095.0
1746350,896.0,2976.0,3065.0,4095.0,3019.0,2332.0,2899.0,4095.0
1746450,888.0,3131.0,3123.0,4095.0,3141.0,2304.0,2917.0,4095.0
1746550,661.0,2151.0,1751.0,4095.0,4095.0,4095.0,2397.0,4095.0
1746650,503.0,1989.0,1609.0,4095.0,4095.0,4095.0,4095.0,4095.0
1746750,503.0,1962.0,1599.0,4095.0,4095.0,4095.0,4095.0,4095.0
1746850,496.0,1820.0,1520.0,4095.0,4095.0,4095.0,4095.0,4095.0
1746950,459.0,1879.0,1475.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747050,355.0,2051.0,1503.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747150,217.0,2224.0,1517.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747250,152.0,2213.0,1438.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747350,140.0,2456.0,1504.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747450,125.0,2505.0,1447.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747550,128.0,2396.0,1464.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747650,128.0,2404.0,1408.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747750,131.0,2583.0,1499.0,4095.0,4095.0,4095.0,4095.0,4095.0
1747850,131.0,2505.0,1463.0,4095.0,3117.0,2329.0,3673.0,4095.0
1747950,20.0,3750.0,3180.0,4095.0,2912.0,2163.0,3353.0,4095.0
1748050,0.0,4095.0,4095.0,4095.0,3037.0,2256.0,2791.0,4095.0
1748150,0.0,4095.0,4095.0,4095.0,3121.0,2389.0,2776.0,4095.0
1748250,0.0,4095.0,4095.0,4095.0,2970.0,2427.0,2853.0,4095.0
1748350,0.0,4095.0,4095.0,4095.0,2975.0,2272.0,2805.0,4095.0
1748450,0.0,4095.0,4095.0,4095.0,3354.0,2292.0,2553.0,4095.0
1748550,0.0,4095.0,4095.0,4095.0,3625.0,2289.0,2489.0,4095.0
1748650,0.0,4095.0,4095.0,4095.0,3227.0,2300.0,2539.0,4095.0
1748750,0.0,4095.0,4095.0,4095.0,3034.0,2232.0,2606.0,4095.0
1748850,63.0,3927.0,4095.0,4095.0,3109.0,2327.0,2538.0,4095.0
1748950,259.0,3765.0,4095.0,4095.0,3059.0,2308.0,2653.0,4095.0
1749050,480.0,3219.0,3799.0,4095.0,3067.0,2376.0,2831.0,4095.0
1749150,527.0,2496.0,1952.0,4095.0,3456.0,3123.0,4095.0,4095.0
1749250,416.0,2208.0,1591.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749350,415.0,2333.0,1599.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749450,309.0,2329.0,1513.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749550,265.0,2256.0,1530.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749650,259.0,2235.0,1453.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749750,280.0,2173.0,1424.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749850,304.0,2128.0,1496.0,4095.0,4095.0,4095.0,4095.0,4095.0
1749950,279.0,2255.0,1477.0,4095.0,4095.0,4095.0,4095.0,4095.0
1750050,294.0,2224.0,1509.0,4095.0,4095.0,4095.0,4095.0,4095.0
1750150,240.0,2219.0,1404.0,4095.0,4095.0,4095.0,4095.0,4095.0
1750250,220.0,2208.0,1464.0,4095.0,4095.0,4095.0,4095.0,4095.0
1750350,152.0,2295.0,1408.0,4095.0,4095.0,4095.0,4095.0,4095.0
1750450,163.0,2351.0,1463.0,4095.0,3351.0,2540.0,4095.0,4095.0
1750550,39.0,4077.0,4095.0,4095.0,3040.0,2341.0,3717.0,4095.0
1750650,33.0,3749.0,3140.0,4095.0,2918.0,2281.0,3605.0,4095.0
1750750,0.0,3843.0,3290.0,4095.0,2819.0,2257.0,3447.0,4095.0
1750850,3.0,3807.0,3191.0,4095.0,2744.0,2295.0,3469.0,4095.0
1750950,0.0,4095.0,4095.0,4095.0,2739.0,2172.0,3447.0,4095.0
1751050,0.0,4095.0,4095.0,4095.0,2864.0,2131.0,3191.0,4095.0
1751150,0.0,4095.0,4095.0,4095.0,3309.0,2151.0,3056.0,4095.0
1751250,0.0,4095.0,4095.0,4095.0,4027.0,2616.0,3013.0,4095.0
1751350,237.0,3382.0,4095.0,4095.0,4095.0,3497.0,2849.0,4095.0
1751450,531.0,3159.0,3223.0,4095.0,4095.0,4095.0,2885.0,4095.0
1751550,876.0,3127.0,2963.0,4095.0,4095.0,4095.0,2976.0,4095.0
1751650,803.0,2919.0,2499.0,4095.0,4095.0,4095.0,3639.0,4095.0
