Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
4474873,345.0,2107.0,1547.0,4095.0,4095.0,4087.0,4095.0,4095.0
4475023,356.0,2103.0,1545.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475123,368.0,2108.0,1546.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475223,361.0,2141.0,1579.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475323,375.0,2113.0,1555.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475423,374.0,2123.0,1573.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475523,375.0,2079.0,1547.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475623,381.0,2080.0,1549.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475723,366.0,2123.0,1573.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475823,376.0,2117.0,1553.0,4095.0,4095.0,4095.0,4095.0,4095.0
4475923,371.0,2110.0,1567.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476023,379.0,2096.0,1567.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476123,394.0,2117.0,1559.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476223,395.0,2076.0,1545.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476323,403.0,2080.0,1545.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476423,391.0,2077.0,1543.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476523,392.0,2120.0,1581.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476623,403.0,2144.0,1585.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476723,393.0,2151.0,1579.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476823,393.0,2112.0,1568.0,4095.0,4095.0,4095.0,4095.0,4095.0
4476923,389.0,2109.0,1583.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477023,405.0,2111.0,1555.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477123,403.0,2108.0,1583.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477223,443.0,2135.0,1560.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477323,454.0,2104.0,1561.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477423,475.0,2123.0,1527.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477523,480.0,2096.0,1567.0,4095.0,4095.0,4095.0,4095.0,4095.0
4477623,496.0,2103.0,1569.0,4095.0,3956.0,4095.0,2531.0,4095.0
4477723,520.0,2065.0,1572.0,4095.0,3667.0,4095.0,3103.0,4095.0
4477823,473.0,2288.0,1576.0,4095.0,3025.0,3913.0,3087.0,4095.0
4477923,519.0,2424.0,1712.0,4095.0,2972.0,3827.0,2621.0,4095.0
4478023,33.0,3655.0,4002.0,4095.0,2834.0,3129.0,2443.0,4095.0
4478123,0.0,4095.0,4095.0,4095.0,2745.0,2991.0,2379.0,4095.0
4478223,39.0,3264.0,2726.0,4095.0,2971.0,3190.0,2836.0,4095.0
4478323,423.0,2333.0,1615.0,4095.0,4095.0,4095.0,4095.0,4095.0
4478423,405.0,2367.0,1645.0,4095.0,4095.0,4095.0,4095.0,4095.0
4478523,384.0,2399.0,1647.0,4095.0,3719.0,4095.0,2300.0,4095.0
