Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
3369802,375.0,3198.0,3756.0,4095.0,4095.0,4095.0,4095.0,3837.0
3369901,376.0,3318.0,3880.0,4095.0,4095.0,4095.0,4095.0,4095.0
3370001,377.0,3166.0,3769.0,4095.0,4095.0,4095.0,4095.0,4095.0
3370101,427.0,3179.0,3746.0,4095.0,4095.0,4095.0,4095.0,4095.0
3370201,455.0,3024.0,3739.0,4095.0,4095.0,4095.0,4095.0,4095.0
3370301,459.0,3155.0,3729.0,4095.0,4095.0,4095.0,4095.0,4095.0
3370401,513.0,2601.0,2397.0,4095.0,3849.0,3744.0,4095.0,4095.0
3370501,483.0,2440.0,1767.0,4095.0,3603.0,3594.0,4095.0,4095.0
3370601,441.0,2272.0,1644.0,4095.0,3315.0,3670.0,4095.0,4095.0
3370701,416.0,2299.0,1619.0,4095.0,3369.0,3255.0,4095.0,4095.0
3370801,377.0,2287.0,1568.0,4095.0,3109.0,3560.0,4095.0,4095.0
3370951,224.0,2365.0,1615.0,4095.0,2923.0,3676.0,3644.0,4095.0
3371051,229.0,2272.0,1516.0,4095.0,2681.0,3504.0,4017.0,4095.0
3371151,231.0,2332.0,1562.0,4095.0,2723.0,3376.0,3923.0,4095.0
3371451,376.0,2271.0,1578.0,4095.0,2760.0,3373.0,3932.0,4095.0
3371701,369.0,2256.0,1594.0,4095.0,2704.0,3376.0,3879.0,4095.0
3371801,375.0,2200.0,1564.0,4095.0,2675.0,3341.0,3850.0,4095.0
3371901,415.0,2279.0,1577.0,4095.0,2716.0,3384.0,3384.0,4095.0
3372001,384.0,2285.0,1597.0,4095.0,2747.0,3315.0,3279.0,4095.0
3372101,393.0,2208.0,1516.0,4095.0,2741.0,3277.0,3293.0,4095.0
3372201,399.0,2175.0,1504.0,4095.0,2712.0,3322.0,3327.0,4095.0
3372301,373.0,2236.0,1568.0,4095.0,2759.0,3286.0,3248.0,4095.0
3372401,372.0,2252.0,1583.0,4095.0,2718.0,3358.0,3321.0,4095.0
3372501,396.0,2297.0,1593.0,4095.0,2728.0,3336.0,3232.0,4095.0
3372601,407.0,2291.0,1591.0,4095.0,2685.0,3420.0,3295.0,4095.0
3372701,416.0,2289.0,1595.0,4095.0,2709.0,3437.0,3268.0,4095.0
3372801,415.0,2168.0,1511.0,4095.0,2688.0,3432.0,3321.0,4095.0
3372901,429.0,2233.0,1569.0,4095.0,2660.0,3481.0,3575.0,4095.0
3373001,412.0,2192.0,1520.0,4095.0,2663.0,3513.0,3533.0,4095.0
3373101,395.0,2203.0,1606.0,4095.0,2617.0,3511.0,3847.0,4095.0
3373201,374.0,2341.0,1699.0,4095.0,2632.0,3572.0,3863.0,4095.0
3373301,331.0,2355.0,1648.0,4095.0,2600.0,3588.0,3797.0,4095.0
3373401,302.0,2395.0,1745.0,4095.0,2592.0,3599.0,3783.0,4095.0
3373501,272.0,2473.0,1801.0,4095.0,2617.0,3683.0,3784.0,4095.0
3373601,320.0,2529.0,1897.0,4095.0,2757.0,3628.0,3835.0,4095.0
3373701,380.0,2720.0,2247.0,4095.0,2863.0,3734.0,3928.0,4095.0
3373801,415.0,2605.0,2024.0,4095.0,2910.0,3748.0,3977.0,4095.0
3373901,464.0,2467.0,2035.0,4095.0,2955.0,3772.0,4006.0,4095.0
3374001,479.0,2486.0,1967.0,4095.0,2979.0,3795.0,4033.0,4095.0
3374101,448.0,2471.0,1975.0,4095.0,2939.0,3753.0,3995.0,4095.0
3374201,391.0,2419.0,1823.0,4095.0,2873.0,3660.0,3926.0,4095.0
