Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
4033992,379.0,2248.0,1452.0,4095.0,2597.0,3161.0,3667.0,3322.0
4034091,371.0,2221.0,1451.0,4095.0,2584.0,3149.0,3683.0,3304.0
4034191,383.0,2213.0,1432.0,4095.0,2589.0,3183.0,3701.0,3409.0
4034291,397.0,2207.0,1439.0,4095.0,2592.0,3171.0,3721.0,3291.0
4034391,408.0,2259.0,1483.0,4095.0,2591.0,3132.0,3704.0,3255.0
4034491,423.0,2176.0,1430.0,4095.0,2607.0,3104.0,3750.0,3261.0
4034591,395.0,2172.0,1472.0,4095.0,2571.0,3103.0,3754.0,3236.0
4034691,404.0,2203.0,1447.0,4095.0,2583.0,3112.0,3759.0,3221.0
4034791,411.0,2207.0,1451.0,4095.0,2587.0,3131.0,3791.0,3175.0
4034891,427.0,2245.0,1477.0,4095.0,2621.0,3148.0,3821.0,3237.0
4034991,416.0,2232.0,1481.0,4095.0,2605.0,3120.0,3826.0,3195.0
4035091,430.0,2241.0,1479.0,4095.0,2603.0,3103.0,3819.0,3164.0
4035191,432.0,2241.0,1477.0,4095.0,2607.0,3131.0,3863.0,3183.0
4035291,431.0,2237.0,1479.0,4095.0,2619.0,3139.0,3859.0,3188.0
4035391,416.0,2200.0,1471.0,4095.0,2616.0,3125.0,3875.0,3198.0
4035491,431.0,2160.0,1451.0,4095.0,2631.0,3160.0,3848.0,3161.0
4035591,441.0,2187.0,1430.0,4095.0,2629.0,3166.0,3829.0,3147.0
4035691,440.0,2231.0,1453.0,4095.0,2605.0,3111.0,3883.0,3171.0
4035791,432.0,2234.0,1479.0,4095.0,2617.0,3102.0,3876.0,3215.0
4035891,445.0,2179.0,1426.0,4095.0,2607.0,3117.0,3865.0,3183.0
4035991,428.0,2200.0,1447.0,4095.0,2584.0,3118.0,3820.0,3145.0
4036091,435.0,2172.0,1424.0,4095.0,2619.0,3150.0,3863.0,3019.0
4036191,439.0,2191.0,1424.0,4095.0,2655.0,3159.0,3955.0,3027.0
4036291,456.0,2201.0,1433.0,4095.0,2697.0,3152.0,3981.0,2955.0
4036391,432.0,2184.0,1471.0,4095.0,2653.0,3156.0,3909.0,2909.0
4036491,444.0,2241.0,1487.0,4095.0,2588.0,3213.0,3807.0,2855.0
4036591,431.0,2175.0,1464.0,4095.0,2531.0,3210.0,3743.0,2830.0
4036691,471.0,2207.0,1467.0,4095.0,2505.0,3109.0,3615.0,2951.0
4036791,199.0,3210.0,3831.0,4095.0,2557.0,2780.0,3535.0,3886.0
4036891,6.0,3904.0,3491.0,4095.0,2558.0,2604.0,3519.0,4095.0
4036991,195.0,3339.0,2803.0,4095.0,2544.0,2621.0,3563.0,4086.0
4037091,376.0,2475.0,1723.0,4095.0,2549.0,2648.0,3611.0,3980.0
4037191,431.0,2507.0,1776.0,4095.0,2552.0,2652.0,3628.0,3948.0
4037291,399.0,2390.0,1690.0,4095.0,2607.0,2614.0,3669.0,3885.0
4037391,343.0,2390.0,1652.0,4095.0,2643.0,2640.0,3719.0,3691.0
4037491,295.0,2352.0,1564.0,4095.0,2761.0,2767.0,3876.0,3431.0
4037591,320.0,2407.0,1611.0,4095.0,2742.0,2744.0,3837.0,3132.0
4037691,331.0,2327.0,1568.0,4095.0,2707.0,2712.0,3790.0,3021.0
4037791,343.0,2336.0,1563.0,4095.0,2677.0,2733.0,3767.0,2443.0
4037891,377.0,2292.0,1560.0,4095.0,2682.0,2761.0,3801.0,2297.0
4037991,393.0,2347.0,1611.0,4095.0,2703.0,2794.0,3911.0,2123.0
4038091,384.0,2332.0,1607.0,4095.0,2717.0,2803.0,3903.0,1983.0
4038191,417.0,2296.0,1555.0,4095.0,2696.0,2759.0,3864.0,1916.0
4038291,459.0,2273.0,1556.0,4095.0,2725.0,2799.0,3913.0,1859.0
4038391,451.0,2255.0,1547.0,4095.0,2747.0,2822.0,3947.0,1875.0
4038491,435.0,2285.0,1571.0,4095.0,2707.0,2788.0,3884.0,1761.0
4038591,426.0,2315.0,1567.0,4095.0,2739.0,2816.0,3921.0,1721.0
4038691,419.0,2261.0,1547.0,4095.0,2671.0,2793.0,3561.0,1679.0
4038791,431.0,2299.0,1559.0,4095.0,2735.0,2851.0,3933.0,1646.0
4038891,448.0,2265.0,1523.0,4095.0,2694.0,2796.0,3871.0,1623.0
4038991,453.0,2267.0,1519.0,4095.0,2686.0,2794.0,3876.0,1619.0
4039091,440.0,2263.0,1523.0,4095.0,2684.0,2793.0,3875.0,1595.0
4039191,432.0,2256.0,1532.0,4095.0,2735.0,2848.0,3939.0,1580.0
4039291,448.0,2291.0,1539.0,4095.0,2727.0,2863.0,3959.0,1527.0
4039391,427.0,2216.0,1514.0,4095.0,2737.0,2870.0,3965.0,1553.0
4039491,433.0,2224.0,1520.0,4095.0,2729.0,2859.0,3957.0,1548.0
4039591,422.0,2232.0,1548.0,4095.0,2693.0,2989.0,3963.0,1533.0
4039691,443.0,2297.0,1559.0,4095.0,2712.0,3020.0,4013.0,1554.0
4039791,447.0,2255.0,1505.0,4095.0,2685.0,3007.0,3960.0,1551.0
4039891,423.0,2262.0,1527.0,4095.0,2696.0,2958.0,3974.0,1543.0
4039991,409.0,2264.0,1541.0,4095.0,2665.0,2892.0,3901.0,1607.0
4040091,348.0,2269.0,1558.0,4095.0,2664.0,2901.0,3871.0,1779.0
4040191,360.0,2296.0,1564.0,4095.0,2713.0,2917.0,3924.0,1787.0
4040291,352.0,2240.0,1557.0,4095.0,2745.0,2950.0,3945.0,1886.0
