Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
1424270,248.0,2187.0,2764.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424370,364.0,1911.0,2151.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424520,339.0,2009.0,2552.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424620,339.0,2005.0,2545.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424720,363.0,1852.0,2055.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424820,267.0,1907.0,2031.0,4095.0,4095.0,4095.0,4095.0,4095.0
1424970,0.0,4095.0,4095.0,4095.0,3216.0,3208.0,4095.0,4095.0
1425070,0.0,4095.0,4095.0,4095.0,2891.0,2785.0,4037.0,4095.0
1425170,0.0,4095.0,4095.0,4095.0,2608.0,2600.0,3465.0,4095.0
1425270,0.0,4095.0,4095.0,4095.0,2621.0,2444.0,3392.0,4095.0
1425370,0.0,4095.0,4095.0,4095.0,2480.0,2527.0,3195.0,4095.0
1425470,0.0,4095.0,4095.0,4095.0,2612.0,2787.0,3249.0,4095.0
1425570,0.0,4095.0,4095.0,4095.0,2571.0,2775.0,3211.0,4095.0
1425670,288.0,3168.0,3776.0,4095.0,2605.0,2714.0,3272.0,4095.0
1425770,803.0,2992.0,3859.0,4095.0,4095.0,4095.0,4095.0,4095.0
1425870,488.0,2032.0,3087.0,4095.0,4095.0,4095.0,4095.0,4095.0
1425970,637.0,1879.0,1931.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426070,384.0,2016.0,1884.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426170,169.0,2087.0,1779.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426270,124.0,2097.0,1873.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426370,97.0,2469.0,1735.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426470,96.0,2671.0,1779.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426570,95.0,2701.0,1853.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426670,67.0,2656.0,1791.0,4095.0,4095.0,4095.0,4095.0,4095.0
1426770,0.0,4095.0,4095.0,4095.0,2814.0,2920.0,3803.0,4095.0
1426870,0.0,4095.0,4095.0,4095.0,2832.0,2712.0,3387.0,4095.0
1426970,0.0,4095.0,4095.0,4095.0,3443.0,3006.0,3220.0,4095.0
1427070,0.0,4095.0,4095.0,4095.0,4095.0,4095.0,2889.0,4095.0
1427170,0.0,4095.0,4095.0,4095.0,3930.0,3660.0,3013.0,4095.0
1427270,0.0,4095.0,4095.0,4095.0,3505.0,3380.0,2983.0,4095.0
1427370,0.0,4095.0,4095.0,4095.0,3481.0,3384.0,2893.0,4095.0
1427470,0.0,4095.0,4095.0,4095.0,3445.0,3668.0,2017.0,4095.0
1427570,633.0,3159.0,3857.0,4095.0,3561.0,3740.0,2365.0,4095.0
1427670,919.0,2848.0,3765.0,4095.0,4095.0,4095.0,4095.0,4095.0
1427770,497.0,1984.0,2096.0,4095.0,4095.0,4095.0,4095.0,4095.0
1427870,368.0,1955.0,2147.0,4095.0,4095.0,4095.0,4095.0,4095.0
1427970,99.0,2255.0,2099.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428070,26.0,3520.0,3183.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428170,24.0,3696.0,3440.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428270,5.0,3893.0,3599.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428370,17.0,4089.0,3761.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428470,19.0,4095.0,3935.0,4095.0,4095.0,4095.0,4095.0,4095.0
1428570,0.0,4095.0,4095.0,4095.0,2599.0,2608.0,3413.0,4095.0
1428670,0.0,4095.0,4095.0,4095.0,2582.0,2365.0,3168.0,4095.0
