Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
290361,25.0,3187.0,2447.0,4095.0,2976.0,4095.0,2540.0,4095.0
290461,185.0,2844.0,2255.0,4095.0,2976.0,3563.0,2536.0,4095.0
290561,152.0,2496.0,1449.0,4095.0,2920.0,4095.0,3093.0,4095.0
290661,135.0,2577.0,1336.0,4095.0,4095.0,4095.0,4095.0,4095.0
290761,103.0,2641.0,1351.0,4095.0,4095.0,4095.0,4095.0,4095.0
290861,99.0,2743.0,1313.0,4095.0,4095.0,3663.0,4095.0,4095.0
290961,80.0,2683.0,1417.0,4095.0,4095.0,3496.0,4095.0,4095.0
291061,71.0,2496.0,1381.0,4095.0,4095.0,4095.0,4095.0,4095.0
291161,104.0,2512.0,1399.0,4095.0,2681.0,2361.0,3469.0,4095.0
291261,73.0,2518.0,1397.0,4095.0,2656.0,2254.0,3356.0,4095.0
291361,101.0,2508.0,1399.0,4095.0,2612.0,2299.0,3325.0,4095.0
291461,139.0,2537.0,1408.0,4095.0,2568.0,2294.0,3255.0,4095.0
291561,896.0,2560.0,1609.0,4095.0,2583.0,2205.0,3293.0,4095.0
291661,43.0,3192.0,2480.0,4095.0,2399.0,2184.0,3181.0,4095.0
291761,60.0,3155.0,2268.0,4095.0,2615.0,2205.0,3147.0,4095.0
291861,55.0,3100.0,2393.0,4095.0,2464.0,2224.0,3188.0,4095.0
291961,67.0,3104.0,2320.0,4095.0,2494.0,2243.0,3159.0,4095.0
292061,51.0,3365.0,2463.0,4095.0,2424.0,2151.0,3043.0,4095.0
292161,332.0,2951.0,2201.0,4095.0,2502.0,2080.0,3283.0,4095.0
292561,87.0,2753.0,1344.0,4095.0,3776.0,3324.0,4095.0,4095.0
293661,63.0,3096.0,2130.0,4095.0,4095.0,4095.0,4095.0,4095.0
293761,63.0,3151.0,2160.0,4095.0,4095.0,3400.0,4095.0,4095.0
293911,304.0,2710.0,2487.0,4095.0,4095.0,3525.0,4095.0,4095.0
294011,699.0,2661.0,2413.0,4095.0,4095.0,3640.0,4095.0,4095.0
294262,456.0,1839.0,1517.0,4095.0,2511.0,2235.0,2135.0,4095.0
295422,375.0,1880.0,1431.0,4095.0,4095.0,3589.0,4095.0,4095.0
295572,183.0,2691.0,1295.0,4095.0,4095.0,3453.0,4095.0,4095.0
295572,76.0,2528.0,1387.0,4095.0,4095.0,3619.0,4095.0,4095.0
295722,87.0,2611.0,1296.0,4095.0,4095.0,4095.0,4095.0,4095.0
295822,96.0,2567.0,1399.0,4095.0,4095.0,4095.0,4095.0,4095.0
295922,117.0,2704.0,1347.0,4095.0,4095.0,4095.0,4095.0,4095.0
296022,115.0,2592.0,1339.0,4095.0,4095.0,4022.0,4095.0,4095.0
296122,56.0,2750.0,1669.0,4095.0,4095.0,4095.0,4095.0,4095.0
296222,47.0,3373.0,2463.0,4095.0,2673.0,2344.0,3400.0,4095.0
296322,55.0,3128.0,2388.0,4095.0,2605.0,2160.0,3373.0,4095.0
296472,33.0,3268.0,2275.0,3920.0,2681.0,2078.0,3133.0,4095.0
296472,41.0,3275.0,2281.0,3063.0,2597.0,2121.0,3160.0,4095.0
296622,59.0,3040.0,2240.0,2967.0,2853.0,2179.0,2966.0,4095.0
296722,56.0,3244.0,2294.0,4095.0,2632.0,2092.0,2965.0,4095.0
296822,55.0,3353.0,2373.0,4095.0,2528.0,2155.0,2423.0,4095.0
296922,176.0,2975.0,2519.0,4095.0,2519.0,2201.0,2320.0,4095.0
297222,372.0,2064.0,1445.0,4095.0,2611.0,2257.0,2401.0,4095.0
297422,110.0,2604.0,1419.0,4095.0,2479.0,2160.0,3271.0,4095.0
297522,105.0,2508.0,1387.0,4095.0,3936.0,3877.0,4095.0,4095.0
297922,71.0,2544.0,1450.0,4095.0,4095.0,3587.0,4095.0,4095.0
298072,76.0,2455.0,1427.0,4095.0,4095.0,4095.0,4095.0,4095.0
298172,79.0,2392.0,1475.0,4095.0,2830.0,2377.0,3371.0,4095.0
298272,49.0,3427.0,2575.0,4095.0,2645.0,2127.0,2909.0,4095.0
298372,53.0,3323.0,2413.0,4095.0,3345.0,2352.0,2675.0,4095.0
298472,64.0,3287.0,2193.0,4095.0,3485.0,4095.0,2519.0,4095.0
298572,49.0,3303.0,2363.0,4095.0,3389.0,4095.0,2467.0,4095.0
298672,43.0,3167.0,2295.0,4095.0,3212.0,4095.0,2492.0,4095.0
298772,51.0,3164.0,2353.0,4095.0,3103.0,3423.0,2427.0,4095.0
298872,64.0,3156.0,2133.0,4095.0,3059.0,3447.0,2554.0,4095.0
298972,299.0,2919.0,2162.0,4095.0,3267.0,3475.0,2419.0,4095.0
299072,857.0,2575.0,2152.0,4095.0,3079.0,3416.0,2666.0,4095.0
299172,1080.0,1707.0,1440.0,4095.0,4095.0,3528.0,4095.0,4095.0
299272,1135.0,1600.0,1329.0,4095.0,4095.0,3643.0,4095.0,4095.0
299372,600.0,2299.0,1411.0,4095.0,4095.0,3428.0,4095.0,4095.0
299472,112.0,2734.0,1403.0,4095.0,4095.0,3550.0,4095.0,4095.0
299572,83.0,2729.0,1408.0,4095.0,4095.0,3531.0,4095.0,4095.0
299672,174.0,2472.0,1427.0,4095.0,4095.0,3428.0,4095.0,4095.0
299772,187.0,2316.0,1369.0,4095.0,4095.0,3471.0,4095.0,4095.0
299872,105.0,2599.0,1300.0,4095.0,4095.0,4095.0,4095.0,4095.0
299972,83.0,2723.0,1374.0,4095.0,4095.0,3961.0,4095.0,4095.0
300072,103.0,2584.0,1359.0,4095.0,4063.0,3795.0,4095.0,4095.0
300172,80.0,2443.0,1525.0,4095.0,3280.0,2888.0,4095.0,4095.0
300322,41.0,3343.0,2249.0,4095.0,2513.0,2063.0,3223.0,4095.0
300422,53.0,3072.0,2323.0,4095.0,2527.0,2229.0,3207.0,4095.0
300522,69.0,3095.0,2144.0,4095.0,2555.0,2265.0,3032.0,4095.0
300622,64.0,3179.0,2155.0,4095.0,2539.0,2213.0,3019.0,4095.0
300722,55.0,3095.0,2139.0,4095.0,2533.0,2001.0,2903.0,4095.0
300822,43.0,3357.0,2363.0,4095.0,2503.0,2084.0,2969.0,4095.0
300922,1196.0,2255.0,2043.0,4095.0,2611.0,2020.0,2864.0,4095.0
301022,1339.0,2199.0,2215.0,4095.0,2504.0,2099.0,2891.0,4095.0
301122,1575.0,2231.0,1920.0,4095.0,2870.0,2170.0,2988.0,4095.0
301222,1044.0,1873.0,1443.0,4095.0,3147.0,4095.0,3667.0,4095.0
301322,535.0,2415.0,1455.0,4095.0,4095.0,4095.0,4095.0,4095.0
301422,87.0,2697.0,1520.0,4095.0,4095.0,3597.0,4095.0,4095.0
301522,87.0,2592.0,1440.0,4095.0,4095.0,3559.0,4095.0,4095.0
301672,110.0,2680.0,1411.0,4095.0,4095.0,3495.0,4095.0,4095.0
301772,76.0,2725.0,1440.0,4095.0,4095.0,3648.0,4095.0,4095.0
301872,111.0,2556.0,1411.0,4095.0,4095.0,3615.0,4095.0,4095.0
301972,112.0,2587.0,1403.0,4095.0,4095.0,3832.0,4095.0,4095.0
302072,119.0,2368.0,1431.0,4095.0,4095.0,3997.0,4095.0,4095.0
302172,79.0,2475.0,1547.0,4095.0,3389.0,3024.0,4095.0,4095.0
302272,28.0,3411.0,2529.0,4095.0,2828.0,2396.0,2953.0,4095.0
302372,41.0,3413.0,2411.0,4095.0,2480.0,2243.0,2693.0,4095.0
302472,63.0,3064.0,2327.0,4095.0,2636.0,2285.0,2698.0,4095.0
302572,53.0,3349.0,2343.0,4095.0,2720.0,2312.0,2551.0,4095.0
302672,59.0,3072.0,2232.0,4095.0,2488.0,2135.0,2560.0,4095.0
302772,48.0,3047.0,2253.0,4095.0,2508.0,2149.0,2473.0,4095.0
302872,297.0,3188.0,2091.0,4095.0,2496.0,2108.0,2583.0,4095.0
302972,1313.0,2240.0,2215.0,4095.0,2637.0,2232.0,2552.0,4095.0
303072,1424.0,2159.0,2157.0,4095.0,3224.0,3376.0,3935.0,4095.0
303172,1185.0,1843.0,1414.0,4095.0,4095.0,4095.0,4095.0,4095.0
303272,1150.0,1879.0,1380.0,4095.0,4095.0,3515.0,4095.0,4095.0
303372,1199.0,1770.0,1367.0,4095.0,4095.0,3397.0,4095.0,4095.0
303472,1151.0,1680.0,1354.0,4095.0,4095.0,4095.0,4095.0,4095.0
303572,1039.0,1751.0,1359.0,4095.0,4095.0,3612.0,4095.0,4095.0
303672,1209.0,1592.0,1327.0,4095.0,4095.0,3565.0,4095.0,4095.0
303772,1100.0,1556.0,1391.0,4095.0,4095.0,3615.0,4095.0,4095.0
303872,1120.0,1567.0,1324.0,4095.0,3936.0,3800.0,4095.0,4095.0
303972,1039.0,1664.0,1384.0,4095.0,3916.0,4095.0,4095.0,4095.0
304072,87.0,2332.0,1366.0,4095.0,2960.0,2671.0,4016.0,4095.0
304172,29.0,3104.0,2587.0,4095.0,2599.0,2206.0,3464.0,4095.0
304272,12.0,3335.0,2295.0,4095.0,2797.0,2270.0,3352.0,4095.0
304372,43.0,3387.0,2401.0,4095.0,2595.0,2221.0,3361.0,4095.0
304472,34.0,3077.0,2128.0,4095.0,2568.0,2213.0,3159.0,4095.0
304572,63.0,3116.0,2191.0,4095.0,2503.0,2140.0,3097.0,4095.0
304672,75.0,3211.0,2170.0,4095.0,2600.0,2066.0,2809.0,4095.0
304772,465.0,3151.0,2287.0,4095.0,2659.0,2208.0,3019.0,4095.0
304872,1225.0,2272.0,2315.0,4095.0,2603.0,2302.0,2969.0,4095.0
304972,1261.0,2240.0,2257.0,4095.0,2727.0,2491.0,3695.0,4095.0
305072,1089.0,1881.0,1357.0,4095.0,4076.0,3979.0,4095.0,4095.0
305172,1127.0,1769.0,1312.0,4095.0,4095.0,4095.0,4095.0,4095.0
305272,1039.0,1664.0,1264.0,4095.0,4095.0,3593.0,4095.0,4095.0
305372,880.0,1989.0,1363.0,4095.0,4095.0,3463.0,4095.0,4095.0
305472,862.0,1909.0,1369.0,4095.0,4095.0,4095.0,4095.0,4095.0
305572,703.0,1896.0,1387.0,4095.0,4095.0,4095.0,4095.0,4095.0
305672,688.0,1783.0,1461.0,4095.0,4095.0,4095.0,4095.0,4095.0
305772,528.0,1865.0,1463.0,4095.0,3840.0,3813.0,4095.0,4095.0
305872,79.0,2392.0,1440.0,4095.0,3103.0,2883.0,4095.0,4095.0
305972,39.0,3400.0,2295.0,4095.0,2619.0,2439.0,3768.0,4095.0
306072,65.0,3167.0,2262.0,4095.0,2513.0,2235.0,3643.0,4095.0
306172,62.0,3251.0,2199.0,4095.0,2599.0,2204.0,3680.0,4095.0
306272,39.0,3369.0,2331.0,4095.0,2748.0,2347.0,3511.0,4095.0
306372,41.0,3248.0,2323.0,4095.0,2485.0,2144.0,3475.0,4095.0
306472,60.0,3255.0,2152.0,4095.0,2356.0,2003.0,3018.0,4095.0
306572,55.0,3120.0,2376.0,4095.0,2477.0,2028.0,3094.0,4095.0
306672,727.0,2605.0,2259.0,4095.0,2427.0,2044.0,3143.0,4095.0
306772,931.0,2336.0,2203.0,4095.0,2688.0,2280.0,3296.0,4095.0
306872,1077.0,1776.0,1420.0,4095.0,4095.0,4095.0,4095.0,4095.0
306972,1151.0,1697.0,1343.0,4095.0,4095.0,3419.0,4095.0,4095.0
307072,993.0,1784.0,1389.0,4095.0,4095.0,4095.0,4095.0,4095.0
