Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
569924,47.0,4095.0,1009.0,4095.0,4095.0,4095.0,4095.0,4095.0
570024,40.0,4095.0,1057.0,4095.0,4095.0,4095.0,4095.0,4095.0
570124,87.0,4095.0,1000.0,4095.0,4095.0,4095.0,4095.0,4095.0
570224,48.0,4095.0,1079.0,4095.0,4095.0,4095.0,4095.0,4095.0
570324,60.0,2840.0,1383.0,4095.0,3693.0,3497.0,4095.0,4095.0
570424,0.0,4095.0,4095.0,4095.0,2717.0,2336.0,3555.0,4095.0
570524,0.0,4095.0,4095.0,4095.0,2829.0,2327.0,3432.0,4095.0
570624,0.0,4095.0,4095.0,4095.0,2745.0,2240.0,3343.0,4095.0
570724,20.0,4095.0,2360.0,4095.0,2676.0,2181.0,3272.0,4095.0
570824,33.0,4095.0,2072.0,4095.0,2681.0,2168.0,3072.0,4095.0
570924,57.0,4095.0,2080.0,4095.0,2583.0,2299.0,3161.0,4095.0
571024,82.0,4095.0,2129.0,4095.0,2821.0,2275.0,3244.0,4095.0
571124,935.0,3096.0,2245.0,4095.0,3272.0,2769.0,4095.0,4095.0
571224,947.0,2851.0,1624.0,4095.0,4095.0,4095.0,4095.0,4095.0
571324,1011.0,3131.0,2183.0,4095.0,4095.0,4095.0,4095.0,4095.0
571424,1039.0,2848.0,2219.0,4095.0,4095.0,4095.0,4095.0,4095.0
571524,871.0,2823.0,1655.0,4095.0,4095.0,4095.0,4095.0,4095.0
571624,863.0,2747.0,1377.0,4095.0,4095.0,4095.0,4095.0,4095.0
571724,911.0,2913.0,1616.0,4095.0,4095.0,4095.0,4095.0,4095.0
571824,620.0,3180.0,1411.0,4095.0,4095.0,3506.0,4095.0,4095.0
571924,151.0,3594.0,1191.0,4095.0,4095.0,3505.0,4095.0,4095.0
572024,91.0,4095.0,1043.0,4095.0,4095.0,3459.0,4095.0,4095.0
572174,87.0,3326.0,1223.0,4095.0,4095.0,4095.0,4095.0,4095.0
572274,108.0,3311.0,1179.0,4095.0,4095.0,4095.0,4095.0,4095.0
572374,65.0,3936.0,1135.0,4095.0,3158.0,2632.0,4077.0,4095.0
572474,55.0,4095.0,1677.0,4095.0,3117.0,2675.0,4077.0,4095.0
572574,48.0,4095.0,2128.0,4095.0,3053.0,2712.0,4054.0,4095.0
572724,41.0,4095.0,2215.0,4095.0,2791.0,2405.0,3783.0,4095.0
572824,51.0,4095.0,2189.0,4095.0,2687.0,2224.0,3260.0,4095.0
572924,44.0,4095.0,2120.0,4095.0,2647.0,2230.0,3187.0,4095.0
573024,19.0,4095.0,2063.0,4095.0,2703.0,2142.0,3120.0,4095.0
573124,17.0,4095.0,2157.0,4095.0,2727.0,2140.0,3018.0,4095.0
573224,299.0,3536.0,2368.0,4095.0,2711.0,2243.0,2924.0,4095.0
573324,446.0,3303.0,2285.0,4095.0,3440.0,4095.0,2624.0,4095.0
573424,170.0,3097.0,1215.0,4095.0,3564.0,4095.0,4095.0,4095.0
573524,161.0,3433.0,1110.0,4095.0,4095.0,4095.0,4095.0,4095.0
573624,103.0,3496.0,1109.0,4095.0,4095.0,4095.0,4095.0,4095.0
573724,55.0,4095.0,1103.0,4095.0,4095.0,4095.0,4095.0,4095.0
573824,48.0,4095.0,991.0,4095.0,4095.0,4095.0,4095.0,4095.0
573924,75.0,4095.0,992.0,4095.0,4095.0,4095.0,4095.0,4095.0
574024,80.0,4095.0,1071.0,4095.0,4095.0,4095.0,4095.0,4095.0
574124,81.0,4095.0,988.0,4095.0,4095.0,4095.0,4095.0,4095.0
574224,87.0,4095.0,999.0,4095.0,4095.0,4095.0,4095.0,4095.0
574324,64.0,4095.0,1385.0,4095.0,3611.0,3404.0,4095.0,4095.0
574424,0.0,4095.0,4095.0,4095.0,2841.0,2309.0,3656.0,4095.0
574524,33.0,4095.0,2510.0,4095.0,3152.0,2193.0,3535.0,4095.0
574624,25.0,4095.0,2579.0,4095.0,3692.0,2619.0,3319.0,4095.0
574724,0.0,4095.0,4095.0,3961.0,3436.0,2759.0,3193.0,4095.0
574824,0.0,4095.0,4095.0,3745.0,3361.0,1996.0,3067.0,4095.0
574924,0.0,4095.0,4095.0,4095.0,3480.0,2237.0,3113.0,4095.0
575024,0.0,4095.0,4095.0,4095.0,3430.0,4095.0,2887.0,4095.0
575124,331.0,2244.0,4095.0,4095.0,3441.0,2221.0,3099.0,4095.0
575224,887.0,2696.0,2696.0,4095.0,2779.0,2260.0,3419.0,4095.0
575324,1055.0,2695.0,2327.0,4095.0,4095.0,4095.0,4095.0,4095.0
575424,631.0,1792.0,1424.0,4095.0,4095.0,4095.0,4095.0,4095.0
575524,472.0,1873.0,1497.0,4095.0,4095.0,4095.0,4095.0,4095.0
575624,463.0,1952.0,1383.0,4095.0,4095.0,4095.0,4095.0,4095.0
575724,896.0,1977.0,1323.0,4095.0,4095.0,4095.0,4095.0,4095.0
575824,158.0,2263.0,1433.0,4095.0,4095.0,4095.0,4095.0,4095.0
575924,75.0,2699.0,1231.0,4095.0,4095.0,4095.0,4095.0,4095.0
576024,57.0,3107.0,1239.0,4095.0,4095.0,4095.0,4095.0,4095.0
