Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
4336786,4095.0,4095.0,4095.0,4095.0,2772.0,2465.0,2352.0,4095.0
4336886,4095.0,4095.0,4095.0,4095.0,2899.0,2745.0,2645.0,4095.0
4336986,4095.0,4095.0,4095.0,4095.0,4040.0,3992.0,4095.0,4095.0
4337086,4095.0,4095.0,4095.0,4095.0,3996.0,3967.0,4095.0,4095.0
4337186,4095.0,4095.0,1163.0,4095.0,3976.0,3955.0,4095.0,4095.0
4337286,4095.0,2090.0,1495.0,4095.0,3864.0,4095.0,4095.0,4095.0
4337386,4026.0,2076.0,1523.0,4095.0,4095.0,4095.0,4095.0,4095.0
4337486,3815.0,2187.0,1632.0,4095.0,4095.0,4095.0,4095.0,3178.0
4337586,3487.0,2703.0,2935.0,4095.0,4095.0,4095.0,4095.0,4095.0
4337686,3321.0,2361.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4337786,3053.0,2340.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4337886,2279.0,2540.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4337986,2375.0,2527.0,4095.0,4095.0,4095.0,3675.0,2453.0,4095.0
4338086,2977.0,4095.0,4095.0,4095.0,4095.0,2341.0,2834.0,4095.0
4338186,4095.0,4095.0,4095.0,4095.0,3987.0,2160.0,2775.0,4095.0
4338286,4095.0,4095.0,4095.0,4095.0,3804.0,2202.0,2795.0,4095.0
4338386,4095.0,4095.0,4095.0,4095.0,3615.0,2185.0,2803.0,4095.0
4338486,4095.0,4095.0,4095.0,4095.0,3455.0,2270.0,3087.0,4095.0
4338586,4095.0,4095.0,4095.0,4095.0,3865.0,3194.0,4095.0,4095.0
4338686,4095.0,4095.0,4095.0,4095.0,4095.0,4053.0,4095.0,4095.0
4338786,4095.0,4095.0,1182.0,4095.0,4095.0,3922.0,4095.0,4095.0
4338886,4095.0,3375.0,1196.0,4095.0,4051.0,4095.0,4095.0,4095.0
4338986,4095.0,2583.0,1374.0,4095.0,4095.0,4095.0,4095.0,3293.0
4339086,4095.0,3044.0,1325.0,4095.0,4095.0,4095.0,4095.0,3064.0
4339186,3720.0,2731.0,1507.0,4095.0,4095.0,4095.0,4095.0,2836.0
4339286,2373.0,2841.0,2149.0,4095.0,4095.0,4095.0,4095.0,4095.0
4339386,2411.0,2544.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4339486,2335.0,2496.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4339586,2117.0,2913.0,4095.0,4095.0,4095.0,4095.0,2026.0,4095.0
4339686,3149.0,4095.0,4095.0,4095.0,4095.0,2793.0,2344.0,4095.0
4339786,4095.0,4095.0,4095.0,4095.0,4095.0,2707.0,2347.0,4095.0
4339886,4095.0,4095.0,4095.0,4095.0,4095.0,2761.0,2190.0,4095.0
4339986,4095.0,4095.0,4095.0,4095.0,4095.0,2107.0,2149.0,4095.0
4340086,4095.0,4095.0,4095.0,4095.0,3128.0,2505.0,2592.0,4095.0
4340186,4095.0,4095.0,4095.0,4095.0,4055.0,4041.0,4095.0,4095.0
4340286,4095.0,4095.0,4095.0,4095.0,3976.0,3894.0,4095.0,4095.0
4340386,4095.0,4095.0,1123.0,4095.0,4009.0,3896.0,4095.0,4095.0
4340486,4095.0,3351.0,1241.0,4095.0,4095.0,3795.0,4095.0,4095.0
4340586,3852.0,2247.0,1459.0,4095.0,4095.0,4095.0,4095.0,4095.0
4340686,3639.0,2222.0,1498.0,4095.0,4095.0,4095.0,4095.0,4095.0
4340786,3568.0,2255.0,1518.0,4095.0,4095.0,4095.0,4095.0,4095.0
4340886,3485.0,2283.0,1529.0,4095.0,4095.0,4095.0,4095.0,4095.0
4340986,3303.0,2283.0,1656.0,4095.0,4095.0,4095.0,4095.0,4095.0
4341086,2540.0,2864.0,3297.0,4095.0,4095.0,4095.0,4095.0,4095.0
4341186,2299.0,2704.0,4095.0,4093.0,4095.0,4095.0,4095.0,4095.0
4341286,2393.0,2496.0,4095.0,4095.0,4095.0,3375.0,2410.0,4095.0
4341386,3008.0,4095.0,4095.0,4095.0,4095.0,2527.0,2422.0,4095.0
4341486,4095.0,4095.0,4095.0,4095.0,4095.0,2661.0,2556.0,4095.0
4341586,4095.0,4095.0,4095.0,4095.0,4095.0,2675.0,2532.0,4095.0
4341686,4095.0,4095.0,4095.0,4095.0,4095.0,2431.0,2343.0,4095.0
4341786,4095.0,4095.0,4095.0,4095.0,4095.0,2367.0,2418.0,4095.0
4341886,4095.0,4095.0,4095.0,4095.0,3602.0,2186.0,3173.0,4095.0
4341986,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0
4342086,4095.0,4095.0,1127.0,4095.0,4095.0,4088.0,4095.0,4095.0
4342186,4095.0,3233.0,1277.0,4095.0,4015.0,4095.0,4095.0,4095.0
4342286,3919.0,2851.0,1386.0,4095.0,4095.0,4095.0,4095.0,2995.0
4342386,3755.0,2703.0,1406.0,4095.0,4095.0,4095.0,4095.0,2918.0
4342486,3512.0,2679.0,1467.0,4095.0,4095.0,4095.0,4095.0,4095.0
4342586,2376.0,2805.0,1651.0,4095.0,4095.0,4095.0,4095.0,4095.0
4342686,2653.0,2488.0,2062.0,4095.0,4095.0,4095.0,4095.0,4095.0
4342786,2376.0,2583.0,4095.0,4095.0,4095.0,4095.0,2515.0,4095.0
4342886,2283.0,2641.0,4095.0,4095.0,4095.0,3160.0,2425.0,4095.0
4342986,4095.0,4095.0,4095.0,4095.0,4027.0,2454.0,2171.0,4095.0
4343086,4095.0,4095.0,4095.0,4095.0,4067.0,2601.0,2151.0,4095.0
4343186,4095.0,4095.0,4095.0,4095.0,3929.0,2413.0,2165.0,4095.0
4343286,4095.0,4095.0,4095.0,4095.0,3799.0,2365.0,2250.0,4095.0
4343386,4095.0,4095.0,4095.0,4095.0,3563.0,2453.0,3359.0,4095.0
4343486,591.0,4095.0,4095.0,4095.0,4095.0,4054.0,4095.0,4095.0
4343586,4095.0,4095.0,1167.0,4095.0,3966.0,3918.0,4095.0,4095.0
4343686,4095.0,2480.0,1440.0,4095.0,4095.0,4095.0,4095.0,4095.0
4343786,4095.0,2276.0,1495.0,4095.0,4095.0,4095.0,4095.0,3160.0
4343886,4095.0,2203.0,1515.0,4095.0,4095.0,4095.0,4095.0,3029.0
4343986,4095.0,2243.0,1512.0,4095.0,4095.0,4095.0,4095.0,4095.0
4344086,3663.0,2105.0,1591.0,4095.0,4095.0,4095.0,4095.0,4095.0
4344186,2672.0,2228.0,1776.0,4095.0,4095.0,4095.0,4095.0,4095.0
