Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
2234208,2163.0,2987.0,1737.0,2661.0,2425.0,2397.0,3864.0,1507.0
2234408,2181.0,2996.0,1724.0,2675.0,2441.0,2405.0,3886.0,1507.0
2234508,2186.0,3035.0,1709.0,2717.0,2469.0,2439.0,3932.0,1527.0
2234608,2209.0,3039.0,1779.0,2668.0,2481.0,2449.0,3941.0,1530.0
2234708,2173.0,2996.0,1750.0,2675.0,2481.0,2445.0,3943.0,1531.0
2234808,2173.0,2995.0,1750.0,2677.0,2477.0,2445.0,3944.0,1527.0
2234908,2171.0,2992.0,1749.0,2675.0,2438.0,2403.0,3880.0,1507.0
2235008,2184.0,2984.0,1727.0,2719.0,2463.0,2447.0,3943.0,1528.0
2235108,2167.0,2991.0,1728.0,2712.0,2464.0,2449.0,3947.0,1519.0
2235208,2213.0,3047.0,1736.0,2713.0,2477.0,2446.0,3939.0,1519.0
2235308,2202.0,3018.0,1728.0,2715.0,2479.0,2447.0,3941.0,1531.0
2235408,2211.0,3039.0,1775.0,2680.0,2479.0,2447.0,3941.0,1519.0
2235508,2190.0,3017.0,1728.0,2721.0,2469.0,2446.0,3937.0,1529.0
2235608,2208.0,3029.0,1760.0,2713.0,2461.0,2445.0,3922.0,1520.0
2235708,2199.0,3039.0,1775.0,2664.0,2483.0,2447.0,3941.0,1527.0
2235808,2215.0,3047.0,1747.0,2699.0,2479.0,2446.0,3918.0,1519.0
2235908,2195.0,3039.0,1751.0,2653.0,2463.0,2445.0,3916.0,1520.0
2236008,2213.0,3019.0,1759.0,2707.0,2463.0,2444.0,3919.0,1527.0
2236108,2191.0,3022.0,1738.0,2713.0,2479.0,2445.0,3919.0,1529.0
2236208,2152.0,2966.0,1747.0,2679.0,2475.0,2447.0,3915.0,1519.0
2236308,2203.0,3039.0,1779.0,2663.0,2463.0,2446.0,3939.0,1520.0
2236408,2150.0,3023.0,1751.0,2703.0,2463.0,2445.0,3938.0,1524.0
2236508,2204.0,2974.0,1709.0,2691.0,2472.0,2446.0,3933.0,1519.0
2236608,2187.0,3039.0,1753.0,2649.0,2463.0,2445.0,3924.0,1524.0
2236708,2211.0,3045.0,1759.0,2652.0,2460.0,2444.0,3911.0,1519.0
2236808,2160.0,3010.0,1767.0,2672.0,2477.0,2447.0,3911.0,1520.0
2236908,2156.0,3033.0,1765.0,2681.0,2477.0,2445.0,3911.0,1525.0
2237008,2157.0,3003.0,1767.0,2685.0,2463.0,2445.0,3903.0,1520.0
2237108,2174.0,2976.0,1728.0,2715.0,2471.0,2446.0,3923.0,1525.0
2237208,2211.0,3023.0,1747.0,2656.0,2467.0,2450.0,3911.0,1527.0
2237308,2152.0,3039.0,1731.0,2709.0,2430.0,2398.0,3871.0,1501.0
2237408,2201.0,2969.0,1719.0,2709.0,2464.0,2447.0,3903.0,1527.0
2237508,2199.0,3004.0,1739.0,2703.0,2461.0,2450.0,3915.0,1525.0
2237608,2164.0,3023.0,1740.0,2715.0,2477.0,2445.0,3933.0,1527.0
2237708,2204.0,3017.0,1741.0,2703.0,2461.0,2445.0,3911.0,1523.0
2237808,2163.0,2987.0,1743.0,2715.0,2462.0,2447.0,3933.0,1519.0
2237908,2203.0,3043.0,1754.0,2653.0,2473.0,2445.0,3933.0,1524.0
2238008,2160.0,3039.0,1751.0,2696.0,2463.0,2444.0,3916.0,1523.0
2238108,2173.0,2995.0,1725.0,2675.0,2431.0,2399.0,3870.0,1499.0
2238208,2166.0,3039.0,1777.0,2687.0,2470.0,2445.0,3922.0,1528.0
2238308,2169.0,2989.0,1746.0,2676.0,2431.0,2402.0,3868.0,1501.0
2238408,2169.0,2989.0,1748.0,2671.0,2437.0,2399.0,3871.0,1501.0
2238508,2189.0,3015.0,1740.0,2685.0,2483.0,2424.0,3915.0,1527.0
2238608,2171.0,2991.0,1749.0,2672.0,2431.0,2399.0,3867.0,1501.0
2238708,2167.0,3043.0,1753.0,2699.0,2437.0,2403.0,3870.0,1503.0
2238808,2195.0,2990.0,1712.0,2699.0,2463.0,2446.0,3921.0,1529.0
2238908,2157.0,2983.0,1709.0,2675.0,2461.0,2447.0,3903.0,1520.0
2239008,2169.0,2990.0,1749.0,2675.0,2467.0,2439.0,3913.0,1529.0
2239108,2171.0,2991.0,1749.0,2675.0,2431.0,2399.0,3869.0,1499.0
2239208,2191.0,2971.0,1728.0,2707.0,2479.0,2447.0,3921.0,1539.0
2239308,2191.0,2969.0,1728.0,2705.0,2477.0,2450.0,3926.0,1538.0
2239408,2167.0,3039.0,1775.0,2683.0,2477.0,2451.0,3924.0,1539.0
2239508,2187.0,3039.0,1779.0,2655.0,2479.0,2449.0,3931.0,1531.0
2239608,2152.0,3033.0,1761.0,2706.0,2477.0,2447.0,3931.0,1523.0
2239708,2205.0,2974.0,1711.0,2693.0,2461.0,2447.0,3929.0,1523.0
2239808,2174.0,2986.0,1720.0,2675.0,2413.0,2398.0,3865.0,1495.0
2239908,2211.0,3016.0,1739.0,2655.0,2481.0,2432.0,3929.0,1520.0
2240008,2189.0,3023.0,1718.0,2713.0,2475.0,2443.0,3902.0,1529.0
2240108,2209.0,3032.0,1767.0,2656.0,2476.0,2447.0,3903.0,1525.0
2240208,2171.0,2989.0,1749.0,2680.0,2463.0,2451.0,3915.0,1528.0
2240308,2171.0,3037.0,1778.0,2698.0,2483.0,2446.0,3915.0,1529.0
2240408,2179.0,3035.0,1777.0,2681.0,2475.0,2439.0,3931.0,1539.0
