Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
1813990,2241.0,3911.0,1492.0,487.0,2683.0,3217.0,3667.0,2579.0
1814090,2327.0,3967.0,1500.0,533.0,2718.0,3104.0,3671.0,2603.0
1814190,2399.0,3712.0,1529.0,496.0,2669.0,3213.0,3657.0,2552.0
1814290,2188.0,3727.0,1611.0,462.0,2713.0,3056.0,3597.0,2587.0
1814390,2271.0,3953.0,1568.0,519.0,2619.0,3138.0,3608.0,2677.0
1814490,2208.0,3809.0,1635.0,479.0,2668.0,3085.0,3643.0,2519.0
1814590,2225.0,3913.0,1615.0,497.0,2721.0,3068.0,3504.0,2569.0
1814740,2318.0,3701.0,1504.0,463.0,2697.0,2970.0,3631.0,2343.0
1814740,2203.0,3749.0,1496.0,487.0,2541.0,2976.0,3438.0,2283.0
1814890,2208.0,3903.0,1575.0,463.0,2603.0,3092.0,3583.0,2532.0
1814990,2176.0,3688.0,1580.0,515.0,2643.0,3206.0,3652.0,2492.0
1815090,2223.0,3836.0,1504.0,479.0,2663.0,3055.0,3627.0,2504.0
1815190,2343.0,3893.0,1520.0,464.0,2643.0,3155.0,3520.0,2587.0
1815290,2175.0,3891.0,1503.0,480.0,2713.0,3103.0,3581.0,2519.0
1815390,2247.0,3891.0,1484.0,511.0,2711.0,3032.0,3624.0,2489.0
1815490,2247.0,3963.0,1568.0,495.0,2655.0,3167.0,3515.0,2579.0
1815590,2263.0,3919.0,1615.0,456.0,2732.0,3109.0,3589.0,2598.0
1815690,2259.0,3879.0,1492.0,463.0,2671.0,3052.0,3639.0,2453.0
1817009,2327.0,3872.0,1503.0,517.0,2535.0,2968.0,3429.0,2283.0
1817359,2204.0,3912.0,1622.0,481.0,2540.0,2972.0,3445.0,2287.0
1817459,2386.0,3864.0,1575.0,460.0,2686.0,2971.0,3633.0,2238.0
1818551,2391.0,3707.0,1575.0,464.0,2631.0,3079.0,3688.0,2513.0
1818354,2305.0,3887.0,1504.0,527.0,2620.0,3159.0,3615.0,2277.0
1818701,2395.0,3719.0,1569.0,464.0,2659.0,3180.0,3665.0,2445.0
1818801,2383.0,3840.0,1579.0,480.0,2599.0,3056.0,3446.0,2447.0
1818901,2211.0,3935.0,1600.0,485.0,2693.0,3091.0,3611.0,2362.0
1819001,2182.0,3820.0,1585.0,483.0,2699.0,3052.0,3627.0,2383.0
1819101,2247.0,3696.0,1504.0,511.0,2645.0,3040.0,3672.0,2464.0
1819201,2204.0,3811.0,1630.0,481.0,2723.0,3183.0,3523.0,2413.0
1819301,2208.0,3861.0,1643.0,473.0,2741.0,3113.0,3571.0,2404.0
1819401,2328.0,3793.0,1619.0,460.0,2612.0,3177.0,3683.0,2513.0
1819501,2336.0,3791.0,1611.0,493.0,2622.0,3153.0,3557.0,2421.0
1819601,2336.0,3763.0,1615.0,464.0,2611.0,3061.0,3627.0,2517.0
1819701,2220.0,3875.0,1643.0,469.0,2710.0,3053.0,3671.0,2423.0
1819801,2383.0,3743.0,1583.0,460.0,2707.0,3068.0,3675.0,2427.0
1819901,2336.0,3784.0,1611.0,464.0,2715.0,3211.0,3558.0,2435.0
1820001,2259.0,3947.0,1550.0,501.0,2643.0,3068.0,3654.0,2553.0
1820101,2256.0,3845.0,1643.0,463.0,2719.0,3127.0,3599.0,2455.0
1820201,2351.0,3744.0,1523.0,533.0,2725.0,3191.0,3523.0,2439.0
1820301,2225.0,3939.0,1592.0,489.0,2624.0,3115.0,3557.0,2499.0
1820401,2337.0,3680.0,1515.0,533.0,2606.0,3040.0,3675.0,2467.0
1820501,2383.0,3947.0,1544.0,512.0,2639.0,3063.0,3649.0,2416.0
1820601,2208.0,3857.0,1643.0,479.0,2739.0,3187.0,3551.0,2440.0
1820701,2279.0,3849.0,1513.0,521.0,2623.0,3085.0,3545.0,2491.0
1820801,2263.0,3816.0,1536.0,503.0,2709.0,3107.0,3671.0,2537.0
1820901,2203.0,3675.0,1611.0,480.0,2620.0,3087.0,3700.0,2515.0
1821001,2316.0,3680.0,1515.0,519.0,2743.0,3176.0,3572.0,2423.0
1821101,2291.0,3696.0,1483.0,503.0,2711.0,3197.0,3555.0,2437.0
1821201,2351.0,3847.0,1508.0,519.0,2743.0,3089.0,3535.0,2457.0
1821301,2399.0,3737.0,1569.0,508.0,2677.0,3052.0,3660.0,2521.0
1821401,2319.0,3692.0,1511.0,527.0,2639.0,3065.0,3677.0,2496.0
1821501,2295.0,3851.0,1512.0,467.0,2664.0,3168.0,3671.0,2547.0
1821601,2321.0,3816.0,1496.0,465.0,2749.0,3089.0,3543.0,2414.0
1821701,2399.0,3706.0,1569.0,504.0,2739.0,3180.0,3538.0,2456.0
1821801,2375.0,3743.0,1591.0,462.0,2627.0,3143.0,3637.0,2545.0
1821901,2208.0,3879.0,1643.0,473.0,2651.0,3036.0,3671.0,2563.0
1822001,2391.0,3680.0,1553.0,524.0,2744.0,3144.0,3571.0,2428.0
1822101,2309.0,3832.0,1504.0,527.0,2712.0,3068.0,3676.0,2443.0
1822201,2323.0,3776.0,1511.0,529.0,2748.0,3087.0,3543.0,2475.0
1822301,2399.0,3696.0,1567.0,504.0,2624.0,3101.0,3544.0,2503.0
1822401,2346.0,3795.0,1607.0,467.0,2622.0,3155.0,3543.0,2504.0
1822501,2208.0,3911.0,1631.0,475.0,2731.0,3089.0,3525.0,2443.0
1822601,2275.0,3933.0,1504.0,513.0,2711.0,3089.0,3591.0,2427.0
1822701,2275.0,3856.0,1516.0,513.0,2599.0,3102.0,3599.0,2471.0
1822801,2219.0,3949.0,1600.0,487.0,2643.0,3054.0,3641.0,2408.0
1822901,2224.0,3835.0,1647.0,469.0,2599.0,3087.0,3592.0,2472.0
1823001,2208.0,3913.0,1643.0,471.0,2711.0,3111.0,3591.0,2406.0
1823101,2345.0,3712.0,1521.0,535.0,2631.0,3047.0,3649.0,2445.0
1823201,2399.0,3719.0,1559.0,512.0,2632.0,3142.0,3563.0,2487.0
1823301,2399.0,3855.0,1567.0,503.0,2663.0,3038.0,3639.0,2400.0
1823401,2235.0,3947.0,1576.0,491.0,2655.0,3095.0,3555.0,2507.0
1823501,2352.0,3769.0,1603.0,480.0,2643.0,3071.0,3677.0,2448.0
1823601,2287.0,3835.0,1637.0,459.0,2727.0,3123.0,3605.0,2440.0
1823701,2336.0,3795.0,1613.0,464.0,2741.0,3093.0,3557.0,2404.0
1823801,2347.0,3680.0,1496.0,480.0,2740.0,3187.0,3533.0,2453.0
1823901,2343.0,3840.0,1520.0,519.0,2633.0,3064.0,3681.0,2547.0
1824001,2359.0,3859.0,1603.0,460.0,2723.0,3181.0,3523.0,2437.0
1824101,2216.0,3724.0,1611.0,460.0,2734.0,3081.0,3531.0,2449.0
1824201,2196.0,3856.0,1615.0,471.0,2743.0,3087.0,3539.0,2455.0
1824301,2321.0,3704.0,1504.0,519.0,2723.0,3204.0,3523.0,2437.0
1824401,2256.0,3883.0,1615.0,460.0,2721.0,3129.0,3514.0,2429.0
1824501,2343.0,3840.0,1504.0,480.0,2649.0,3064.0,3657.0,2543.0
1824601,2188.0,3792.0,1597.0,471.0,2707.0,3107.0,3544.0,2429.0
1824701,2351.0,3720.0,1611.0,480.0,2720.0,3165.0,3668.0,2453.0
1824801,2188.0,3860.0,1584.0,460.0,2719.0,3115.0,3512.0,2440.0
1824901,2224.0,3863.0,1607.0,495.0,2739.0,3106.0,3563.0,2415.0
1825001,2172.0,3692.0,1508.0,467.0,2636.0,3148.0,3539.0,2545.0
1825101,2191.0,3879.0,1553.0,521.0,2737.0,3171.0,3561.0,2421.0
1825201,2337.0,3779.0,1495.0,510.0,2620.0,3145.0,3695.0,2519.0
1825301,2347.0,3883.0,1608.0,519.0,2649.0,3095.0,3551.0,2439.0
1825401,2189.0,3743.0,1519.0,460.0,2719.0,3104.0,3512.0,2413.0
1825501,2179.0,3883.0,1591.0,463.0,2620.0,3153.0,3520.0,2415.0
1825601,2224.0,3808.0,1520.0,511.0,2713.0,3079.0,3595.0,2394.0
1825701,2263.0,3839.0,1607.0,511.0,2654.0,3118.0,3518.0,2483.0
1825801,2343.0,3646.0,1503.0,471.0,2663.0,3161.0,3518.0,2475.0
1825901,2279.0,3911.0,1510.0,499.0,2608.0,3090.0,3609.0,2456.0
1826001,2329.0,3819.0,1512.0,535.0,2697.0,3133.0,3541.0,2495.0
1826101,2389.0,3742.0,1567.0,504.0,2741.0,3182.0,3573.0,2411.0
1826251,2280.0,3871.0,1633.0,460.0,2668.0,3129.0,3516.0,2487.0
1826351,2299.0,3947.0,1500.0,527.0,2605.0,3123.0,3645.0,2404.0
1826501,2339.0,3680.0,1567.0,464.0,2684.0,3169.0,3495.0,2456.0
1826601,2389.0,3747.0,1575.0,464.0,2744.0,3164.0,3625.0,2404.0
1826701,2305.0,3732.0,1500.0,527.0,2591.0,3102.0,3601.0,2475.0
1826801,2209.0,3975.0,1596.0,485.0,2588.0,3116.0,3575.0,2480.0
1826901,2172.0,3852.0,1590.0,463.0,2720.0,3072.0,3667.0,2495.0
1827001,2295.0,3728.0,1500.0,523.0,2684.0,3200.0,3537.0,2541.0
