Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
1034714,2200.0,3813.0,1569.0,4095.0,2699.0,2907.0,2581.0,4095.0
1034814,2269.0,3747.0,1547.0,4095.0,2808.0,3051.0,2729.0,4095.0
1034914,2144.0,3883.0,1520.0,4095.0,2927.0,2935.0,2773.0,4095.0
1035014,2249.0,3624.0,1449.0,4095.0,2925.0,2944.0,2780.0,4095.0
1035114,2136.0,3876.0,1551.0,4095.0,2832.0,3059.0,2687.0,4095.0
1035214,2144.0,3859.0,1567.0,4095.0,2937.0,2992.0,2799.0,4095.0
1035314,2256.0,3735.0,1567.0,4095.0,2929.0,2960.0,2814.0,4095.0
1035414,2176.0,3807.0,1575.0,4095.0,2967.0,2936.0,2701.0,4095.0
1035514,2235.0,3600.0,1451.0,4095.0,2839.0,3027.0,2779.0,4095.0
1035614,2203.0,3728.0,1440.0,4095.0,2816.0,2999.0,2723.0,4095.0
1035714,2161.0,3744.0,1483.0,4095.0,2948.0,2954.0,2828.0,4095.0
1035814,2220.0,3783.0,1585.0,4095.0,2851.0,3087.0,2803.0,4095.0
1035914,2309.0,3602.0,1499.0,4095.0,2875.0,3080.0,2824.0,4095.0
1036014,2140.0,3844.0,1567.0,4095.0,2952.0,2976.0,2855.0,4095.0
1036114,2240.0,3731.0,1583.0,4095.0,2967.0,2983.0,2720.0,4095.0
1036214,2172.0,3799.0,1583.0,4095.0,2957.0,2983.0,2720.0,4095.0
1036314,2183.0,3671.0,1503.0,4095.0,2909.0,2992.0,2797.0,4095.0
1036414,2191.0,3548.0,1494.0,4095.0,2848.0,3015.0,2771.0,4095.0
1036514,2271.0,3551.0,1456.0,4095.0,2933.0,3060.0,2869.0,4095.0
1036614,2219.0,3712.0,1472.0,4095.0,2967.0,3129.0,2713.0,4095.0
1036714,2263.0,3744.0,1459.0,4095.0,2764.0,2868.0,3004.0,4095.0
1036814,2143.0,3831.0,1518.0,4095.0,2872.0,2952.0,2811.0,4095.0
1036914,2128.0,3723.0,1551.0,4095.0,2932.0,3069.0,2733.0,4095.0
1037014,2191.0,3720.0,1551.0,4095.0,2967.0,3102.0,2761.0,4095.0
1037114,2275.0,3695.0,1511.0,4095.0,2903.0,2945.0,2798.0,4095.0
1037214,2201.0,3648.0,1551.0,4095.0,2903.0,2895.0,2748.0,4095.0
1037314,2143.0,3760.0,1518.0,4095.0,2923.0,2977.0,2709.0,4095.0
1037414,2235.0,3568.0,1467.0,4095.0,2961.0,3051.0,2711.0,4095.0
1037514,2247.0,3568.0,1475.0,4095.0,2787.0,3117.0,2757.0,4095.0
1037614,2299.0,3599.0,1503.0,4095.0,2915.0,2976.0,2876.0,4095.0
1037714,2240.0,3717.0,1587.0,4095.0,2924.0,3071.0,2886.0,4095.0
1037814,2311.0,3595.0,1497.0,4095.0,2885.0,2960.0,2665.0,4095.0
1037914,2138.0,3825.0,1536.0,4095.0,2784.0,3087.0,2677.0,4095.0
1038014,2187.0,3710.0,1468.0,4095.0,2780.0,3021.0,2635.0,4095.0
1038114,2315.0,3603.0,1527.0,4095.0,2790.0,3021.0,2764.0,4095.0
