Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
3836347,3835.0,3611.0,1148.0,4095.0,3720.0,2725.0,1933.0,4095.0
3836446,3835.0,3575.0,1063.0,4095.0,3692.0,3005.0,2157.0,4095.0
3836546,3718.0,3604.0,1184.0,4095.0,3311.0,3062.0,2245.0,4095.0
3836646,3756.0,3639.0,1172.0,4095.0,3723.0,2987.0,2180.0,4095.0
3836746,3851.0,3662.0,1239.0,4095.0,3748.0,2966.0,2205.0,4095.0
3836846,3704.0,3592.0,1247.0,4095.0,3747.0,2964.0,2215.0,4095.0
3836946,3723.0,3515.0,1257.0,4095.0,3305.0,2972.0,2283.0,4095.0
3837046,3672.0,3456.0,1267.0,4095.0,3283.0,3000.0,2309.0,4095.0
3837146,3765.0,3342.0,1200.0,4095.0,3275.0,3005.0,2315.0,4095.0
3837246,3744.0,3456.0,1259.0,4095.0,3243.0,2983.0,2287.0,4095.0
3837346,3827.0,3407.0,1225.0,4095.0,3227.0,2944.0,2284.0,4095.0
3837446,3799.0,3309.0,1233.0,4095.0,3207.0,2941.0,2303.0,4095.0
3837546,3648.0,3385.0,1204.0,4095.0,3253.0,2909.0,2291.0,4095.0
3837646,3800.0,3443.0,1247.0,4095.0,3215.0,2904.0,2288.0,4095.0
3837746,3779.0,3307.0,1207.0,4095.0,3244.0,2922.0,2327.0,4095.0
3837846,3779.0,3385.0,1249.0,4095.0,3200.0,2890.0,2317.0,4095.0
3837946,3584.0,3344.0,1269.0,4095.0,3215.0,2862.0,2303.0,4095.0
3838046,3731.0,3405.0,1273.0,4095.0,3227.0,2899.0,2351.0,4095.0
3838146,3697.0,3286.0,1208.0,4095.0,3275.0,2848.0,2301.0,4095.0
3838246,3757.0,3400.0,1249.0,4095.0,3253.0,2871.0,2357.0,4095.0
3838346,3743.0,3387.0,1237.0,4095.0,3213.0,2873.0,2346.0,4095.0
3838446,3719.0,3380.0,1283.0,4095.0,3198.0,2875.0,2329.0,4095.0
3838546,3747.0,3363.0,1235.0,4095.0,3235.0,2872.0,2314.0,4095.0
