Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
3218716,3616.0,3232.0,1271.0,4095.0,3609.0,2403.0,3035.0,4095.0
3218816,3763.0,3232.0,1325.0,4095.0,3585.0,2368.0,3025.0,4095.0
3218916,3753.0,3279.0,1317.0,4095.0,3653.0,2376.0,3039.0,4095.0
3219016,3727.0,3252.0,1327.0,4095.0,3639.0,2372.0,3044.0,4095.0
3219116,3741.0,3351.0,1264.0,4095.0,3646.0,2402.0,2960.0,4095.0
3219216,3751.0,3317.0,1318.0,4095.0,3560.0,2387.0,3013.0,4095.0
3219316,3681.0,3216.0,1323.0,4095.0,3627.0,2395.0,2975.0,4095.0
3219416,3663.0,3312.0,1319.0,4095.0,3629.0,2395.0,3009.0,4095.0
3219516,3687.0,3351.0,1299.0,4095.0,3629.0,2387.0,2987.0,4095.0
3219616,3707.0,3232.0,1327.0,4095.0,3602.0,2410.0,2973.0,4095.0
3219716,3655.0,3248.0,1319.0,4095.0,3657.0,2379.0,2996.0,4095.0
3219816,3534.0,3242.0,1232.0,4095.0,3621.0,2383.0,2967.0,4095.0
3219916,3536.0,3403.0,1271.0,4095.0,3640.0,2407.0,2944.0,4095.0
3220016,3556.0,3372.0,1283.0,4095.0,3557.0,2360.0,3001.0,4095.0
3220116,3599.0,3370.0,1299.0,4095.0,3651.0,2357.0,3030.0,4095.0
3220216,3560.0,3376.0,1275.0,4095.0,3610.0,2379.0,3003.0,4095.0
3220316,3607.0,3350.0,1291.0,4095.0,3615.0,2383.0,2967.0,4095.0
3220416,3679.0,3431.0,1243.0,4095.0,3619.0,2351.0,3049.0,4095.0
3220516,3696.0,3447.0,1234.0,4095.0,3647.0,2415.0,2958.0,4095.0
3220616,3683.0,3264.0,1319.0,4095.0,3647.0,2419.0,2958.0,4095.0
3220716,3693.0,3383.0,1276.0,4095.0,3619.0,2379.0,2983.0,4095.0
3220816,3655.0,3379.0,1262.0,4095.0,3576.0,2381.0,2985.0,4095.0
3220916,3552.0,3386.0,1267.0,4095.0,3635.0,2366.0,3037.0,4095.0
3221016,3552.0,3344.0,1271.0,4095.0,3615.0,2387.0,2967.0,4095.0
3221116,3689.0,3367.0,1279.0,4095.0,3560.0,2368.0,3015.0,4095.0
3221266,3753.0,3387.0,1261.0,4095.0,3609.0,2344.0,3045.0,4095.0
3221266,3755.0,3387.0,1296.0,4095.0,3641.0,2395.0,2954.0,4095.0
3221416,3608.0,3342.0,1303.0,4095.0,3611.0,2344.0,3041.0,4095.0
3221516,3743.0,3309.0,1317.0,4095.0,3651.0,2373.0,3028.0,4095.0
