Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
1321598,3911.0,3062.0,1431.0,3887.0,4095.0,4095.0,4095.0,280.0
1321698,3911.0,3164.0,1312.0,3715.0,4095.0,4095.0,4095.0,268.0
1321798,3923.0,3043.0,1431.0,3787.0,4095.0,4095.0,4095.0,293.0
1321898,3872.0,3072.0,1413.0,3731.0,4095.0,4095.0,4095.0,263.0
1321998,3872.0,3251.0,1315.0,3727.0,4095.0,4095.0,4095.0,263.0
1322098,3928.0,3230.0,1299.0,3807.0,4095.0,4095.0,4095.0,293.0
1322198,3880.0,3131.0,1358.0,3737.0,4095.0,4095.0,4095.0,269.0
1322298,3887.0,3040.0,1431.0,3755.0,4095.0,4095.0,4095.0,295.0
1322398,3866.0,3143.0,1417.0,3731.0,4095.0,4095.0,4095.0,293.0
1322498,3891.0,3087.0,1312.0,3871.0,4095.0,4095.0,4095.0,275.0
1322598,3915.0,3160.0,1312.0,3727.0,4095.0,4095.0,4095.0,281.0
1322698,3884.0,3232.0,1360.0,3745.0,4095.0,4095.0,4095.0,254.0
1322798,3927.0,3305.0,1304.0,3680.0,4095.0,4095.0,4095.0,271.0
1322898,4008.0,3307.0,1304.0,3702.0,4095.0,4095.0,4095.0,293.0
1322998,3895.0,3176.0,1312.0,3708.0,4095.0,4095.0,4095.0,295.0
1323098,3907.0,3307.0,1312.0,3708.0,4095.0,4095.0,4095.0,289.0
1323198,3883.0,3288.0,1312.0,3760.0,4095.0,4095.0,4095.0,293.0
1323298,3899.0,3307.0,1435.0,3704.0,4095.0,4095.0,4095.0,269.0
1323398,3880.0,3117.0,1312.0,3735.0,4095.0,4095.0,4095.0,252.0
1323498,3905.0,3092.0,1296.0,3845.0,4095.0,4095.0,4095.0,263.0
1323598,3921.0,3072.0,1300.0,3937.0,4095.0,4095.0,4095.0,265.0
1323698,3856.0,3139.0,1400.0,3712.0,4095.0,4095.0,4095.0,262.0
1323798,3936.0,3072.0,1304.0,3712.0,4095.0,4095.0,4095.0,269.0
1323898,4015.0,3072.0,1434.0,3712.0,4095.0,4095.0,4095.0,279.0
1323998,3887.0,3040.0,1304.0,3724.0,4095.0,4095.0,4095.0,261.0
1324098,3879.0,3163.0,1312.0,3728.0,4095.0,4095.0,4095.0,265.0
1324198,3891.0,3116.0,1304.0,3708.0,4095.0,4095.0,4095.0,293.0
1324298,3864.0,3177.0,1308.0,3712.0,4095.0,4095.0,4095.0,264.0
1324398,4089.0,3131.0,1337.0,3736.0,4095.0,4095.0,4095.0,281.0
1324498,3942.0,3279.0,1308.0,3728.0,4095.0,4095.0,4095.0,285.0
1324598,3840.0,3072.0,1403.0,3728.0,4095.0,4095.0,4095.0,268.0
1324698,3855.0,3245.0,1328.0,3785.0,4095.0,4095.0,4095.0,261.0
1324798,3895.0,3072.0,1304.0,3728.0,4095.0,4095.0,4095.0,259.0
1324898,3840.0,3060.0,1319.0,3712.0,4095.0,4095.0,4095.0,263.0
1324998,3959.0,3136.0,1399.0,3849.0,4095.0,4095.0,4095.0,280.0
1325098,3983.0,3092.0,1287.0,3927.0,4095.0,4095.0,4095.0,277.0
1325198,3971.0,3040.0,1295.0,3921.0,4095.0,4095.0,4095.0,277.0
1325298,3937.0,3134.0,1392.0,3847.0,4095.0,4095.0,4095.0,263.0
1325398,4095.0,3203.0,1431.0,3965.0,4095.0,4095.0,4095.0,272.0
1325498,3967.0,3175.0,1308.0,3907.0,4095.0,4095.0,4095.0,283.0
1325598,3888.0,3239.0,1315.0,3871.0,4095.0,4095.0,4095.0,259.0
1325698,3824.0,3232.0,1335.0,3755.0,4095.0,4095.0,4095.0,280.0
1325798,3887.0,3305.0,1304.0,3831.0,4095.0,4095.0,4095.0,249.0
1325898,4095.0,3072.0,1383.0,3712.0,4095.0,4095.0,4095.0,291.0
1325998,3883.0,3301.0,1308.0,3728.0,4095.0,4095.0,4095.0,261.0
1326098,3963.0,3299.0,1307.0,3726.0,4095.0,4095.0,4095.0,293.0
1326198,3816.0,3160.0,1344.0,3743.0,4095.0,4095.0,4095.0,291.0
1326298,3863.0,3068.0,1312.0,3776.0,4095.0,4095.0,4095.0,288.0
1326398,3824.0,3168.0,1355.0,3755.0,4095.0,4095.0,4095.0,269.0
1326498,3826.0,3297.0,1328.0,3755.0,4095.0,4095.0,4095.0,263.0
1326598,4008.0,3109.0,1435.0,3740.0,4095.0,4095.0,4095.0,291.0
1326698,3877.0,3255.0,1304.0,3728.0,4095.0,4095.0,4095.0,264.0
1326798,3960.0,3040.0,1306.0,3724.0,4095.0,4095.0,4095.0,283.0
1326898,3808.0,3244.0,1329.0,3728.0,4095.0,4095.0,4095.0,255.0
1326998,3900.0,3252.0,1315.0,3708.0,4095.0,4095.0,4095.0,271.0
1327098,4029.0,3109.0,1439.0,3736.0,4095.0,4095.0,4095.0,261.0
1327198,3881.0,3072.0,1304.0,3728.0,4095.0,4095.0,4095.0,279.0
1327298,3822.0,3103.0,1439.0,3743.0,4095.0,4095.0,4095.0,291.0
1327398,4095.0,3079.0,1431.0,3756.0,4095.0,4095.0,4095.0,286.0
1327498,3888.0,3054.0,1315.0,3708.0,4095.0,4095.0,4095.0,294.0
1327598,3847.0,3104.0,1296.0,3731.0,4095.0,4095.0,4095.0,264.0
