Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
2806378,3647.0,3191.0,1503.0,4095.0,3428.0,2693.0,2292.0,2813.0
2806478,2816.0,3411.0,1673.0,4095.0,3616.0,2648.0,2428.0,3057.0
2806578,3835.0,3132.0,1456.0,4095.0,3634.0,2655.0,2426.0,3051.0
2806678,2927.0,3228.0,1560.0,4095.0,3611.0,2713.0,2440.0,3116.0
2806778,2968.0,3380.0,1643.0,4095.0,3617.0,2669.0,2457.0,3191.0
2806878,3947.0,3247.0,1436.0,4095.0,3591.0,2675.0,2425.0,2939.0
2806978,3843.0,3141.0,1449.0,4095.0,3603.0,2628.0,2414.0,3057.0
2807078,3727.0,3195.0,1520.0,4095.0,3608.0,2667.0,2463.0,2988.0
2807178,3831.0,3195.0,1494.0,4095.0,3629.0,2677.0,2461.0,2989.0
2807278,2918.0,3327.0,1639.0,4095.0,3603.0,2671.0,2459.0,2870.0
2807378,4025.0,3068.0,1423.0,4095.0,3649.0,2623.0,2421.0,3160.0
2807478,4000.0,3247.0,1543.0,4095.0,3651.0,2637.0,2416.0,3040.0
2807578,3841.0,3056.0,1440.0,4095.0,3641.0,2608.0,2392.0,3016.0
2807678,3704.0,3152.0,1494.0,4095.0,3625.0,2625.0,2401.0,2855.0
2807778,3873.0,3099.0,1495.0,4095.0,3635.0,2600.0,2384.0,2936.0
2807878,3939.0,3172.0,1528.0,4095.0,3573.0,2655.0,2419.0,2783.0
2807978,3925.0,3223.0,1559.0,4095.0,3639.0,2643.0,2423.0,2712.0
2808078,3872.0,3255.0,1577.0,4095.0,3575.0,2654.0,2451.0,2749.0
2808178,2967.0,3239.0,1575.0,4095.0,3625.0,2600.0,2395.0,2813.0
2808278,3804.0,3120.0,1468.0,4095.0,3627.0,2600.0,2391.0,2712.0
2808378,3903.0,3208.0,1531.0,4095.0,3621.0,2615.0,2431.0,2717.0
2808628,3712.0,3024.0,1440.0,4095.0,3619.0,2461.0,2440.0,2627.0
2808878,3861.0,3175.0,1479.0,4095.0,3558.0,2655.0,2445.0,2723.0
2808978,3696.0,3070.0,1504.0,4095.0,3624.0,2608.0,2391.0,2680.0
2809078,3707.0,3144.0,1504.0,4095.0,3612.0,2647.0,2408.0,2703.0
2809178,3959.0,3040.0,1432.0,4095.0,3624.0,2618.0,2394.0,2680.0
2809278,4019.0,3123.0,1487.0,4095.0,3627.0,2615.0,2420.0,2687.0
2809378,3918.0,3180.0,1512.0,4095.0,3573.0,2663.0,2439.0,2711.0
2809478,4032.0,3229.0,1528.0,4095.0,3603.0,2650.0,2447.0,2717.0
2809578,4087.0,3099.0,1465.0,4095.0,3641.0,2639.0,2394.0,2663.0
2809678,3960.0,3239.0,1520.0,4095.0,3575.0,2655.0,2451.0,2721.0
2809778,3862.0,3040.0,1432.0,4095.0,3594.0,2616.0,2454.0,2723.0
2809878,4033.0,3091.0,1449.0,4095.0,3600.0,2633.0,2461.0,2723.0
2809978,4031.0,3251.0,1531.0,4095.0,3658.0,2683.0,2423.0,2679.0
2810078,4085.0,3215.0,1527.0,4095.0,3643.0,2635.0,2453.0,2920.0
2810378,4019.0,3052.0,1436.0,4095.0,3592.0,2688.0,2469.0,3171.0
2810478,3991.0,3032.0,1440.0,4095.0,3657.0,2644.0,2400.0,3192.0
2810578,4007.0,3151.0,1451.0,4095.0,3639.0,2632.0,2415.0,3227.0
2810728,4071.0,3034.0,1424.0,4095.0,3659.0,2679.0,2403.0,3151.0
2810828,4091.0,3167.0,1403.0,4095.0,3673.0,2657.0,2362.0,3095.0
2811178,4093.0,3040.0,1416.0,4095.0,3671.0,2624.0,2363.0,3141.0
2811278,3998.0,3171.0,1463.0,4095.0,3608.0,2677.0,2413.0,3231.0
2811378,4041.0,3096.0,1408.0,4095.0,3675.0,2689.0,2373.0,3192.0
2811478,3904.0,3152.0,1452.0,4095.0,3595.0,2678.0,2407.0,3151.0
2811578,4095.0,3171.0,1467.0,4095.0,3703.0,2651.0,2427.0,2932.0
2811678,4000.0,3208.0,1515.0,4095.0,3633.0,2646.0,2395.0,2909.0
2811778,3871.0,3044.0,1424.0,4095.0,3585.0,2649.0,2469.0,2987.0
2811878,3987.0,3141.0,1477.0,4095.0,3585.0,2624.0,2451.0,2992.0
2812128,2864.0,3183.0,1562.0,4095.0,3623.0,2667.0,2411.0,3067.0
2812228,2949.0,3249.0,1595.0,4095.0,3625.0,2633.0,2400.0,3101.0
2812478,2939.0,3255.0,1595.0,4095.0,3635.0,2655.0,2458.0,3099.0
2812578,3019.0,3260.0,1675.0,4095.0,3558.0,2667.0,2479.0,3192.0
2812678,2987.0,3135.0,1645.0,4095.0,3665.0,2616.0,2408.0,3167.0
2812778,3021.0,3260.0,1673.0,4095.0,3661.0,2641.0,2420.0,3296.0
2812878,3003.0,3283.0,1591.0,4095.0,3629.0,2645.0,2459.0,3126.0
2812978,3744.0,3008.0,1455.0,4095.0,3654.0,2640.0,2420.0,2864.0
2813078,3916.0,3192.0,1546.0,4095.0,3659.0,2590.0,2400.0,3081.0
2813178,3801.0,3008.0,1488.0,4095.0,3653.0,2635.0,2400.0,3132.0
2813278,3736.0,3028.0,1440.0,4095.0,3640.0,2602.0,2421.0,3133.0
2813378,3896.0,3107.0,1465.0,4095.0,3657.0,2655.0,2423.0,2836.0
2813478,3879.0,3151.0,1487.0,4095.0,3655.0,2633.0,2426.0,2764.0
2813578,3855.0,3127.0,1507.0,4095.0,3647.0,2651.0,2443.0,2656.0
2813678,3981.0,3169.0,1519.0,4095.0,3596.0,2600.0,2442.0,2812.0
2813778,3977.0,3149.0,1511.0,4095.0,3594.0,2607.0,2445.0,2855.0
2813878,3864.0,3175.0,1526.0,4095.0,3651.0,2639.0,2408.0,2779.0
2813978,3940.0,3211.0,1551.0,4095.0,3568.0,2607.0,2445.0,2679.0
2814228,3743.0,3096.0,1503.0,4095.0,3383.0,2428.0,2243.0,2742.0
2814328,3947.0,3149.0,1481.0,4095.0,3598.0,2639.0,2443.0,3096.0
2814578,3953.0,3159.0,1432.0,4095.0,3616.0,2636.0,2455.0,2840.0
2814678,3880.0,3159.0,1503.0,4095.0,3653.0,2635.0,2392.0,2807.0
2814878,4095.0,3096.0,1463.0,4095.0,3635.0,2635.0,2449.0,2766.0
2814978,4095.0,3040.0,1433.0,4095.0,3651.0,2643.0,2400.0,2811.0
2815078,4095.0,3223.0,1399.0,4095.0,3617.0,2603.0,2439.0,2641.0
