Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
3042946,2743.0,2267.0,1679.0,4095.0,3431.0,3275.0,4095.0,4095.0
3043046,2795.0,2309.0,1616.0,4095.0,3713.0,3536.0,4095.0,4095.0
3043146,2608.0,2224.0,1596.0,4095.0,3707.0,3535.0,4095.0,4095.0
3043246,2655.0,2240.0,1620.0,4095.0,3706.0,3495.0,4095.0,4095.0
3043346,2528.0,2220.0,1626.0,4095.0,3705.0,3533.0,4095.0,4095.0
3043446,2624.0,2160.0,1619.0,4095.0,3727.0,3470.0,4095.0,4095.0
3043546,2636.0,2240.0,1592.0,4095.0,3736.0,3472.0,4095.0,4095.0
3043646,2624.0,2160.0,1681.0,4095.0,3697.0,3563.0,4095.0,4095.0
3043746,2763.0,2279.0,1680.0,4095.0,3665.0,3537.0,4095.0,4095.0
3043846,2679.0,2231.0,1616.0,4095.0,3703.0,3532.0,4095.0,4095.0
3043946,2731.0,2251.0,1656.0,4095.0,3704.0,3529.0,4095.0,4095.0
3044046,2789.0,2303.0,1600.0,4095.0,3659.0,3480.0,4095.0,4095.0
3044146,2743.0,2264.0,1631.0,4095.0,3715.0,3539.0,4095.0,4095.0
3044246,2779.0,2284.0,1604.0,4095.0,3631.0,3495.0,4095.0,4095.0
3044346,2705.0,2305.0,1709.0,4095.0,3741.0,3565.0,4095.0,4095.0
3044446,2704.0,2207.0,1643.0,4095.0,3708.0,3591.0,4095.0,4095.0
3044546,2764.0,2264.0,1611.0,4095.0,3697.0,3571.0,4095.0,4095.0
3044646,2785.0,2307.0,1640.0,4095.0,3723.0,3552.0,4095.0,4095.0
3044746,2616.0,2160.0,1675.0,4095.0,3675.0,3547.0,4095.0,4095.0
3044846,2789.0,2311.0,1627.0,4095.0,3630.0,3507.0,4095.0,4095.0
3044946,2624.0,2173.0,1687.0,4095.0,3749.0,3546.0,4095.0,4095.0
3045046,2787.0,2311.0,1648.0,4095.0,3727.0,3548.0,4095.0,4095.0
3045146,2757.0,2281.0,1680.0,4095.0,3679.0,3468.0,4095.0,4095.0
3045246,2675.0,2168.0,1665.0,4095.0,3645.0,3513.0,4095.0,4095.0
3045346,2605.0,2222.0,1596.0,4095.0,3687.0,3528.0,4095.0,4095.0
3045446,2787.0,2309.0,1600.0,4095.0,3691.0,3532.0,4095.0,4095.0
3045546,2608.0,2160.0,1673.0,4095.0,3632.0,3524.0,4095.0,4095.0
3045646,2785.0,2309.0,1616.0,4095.0,3705.0,3488.0,4095.0,4095.0
3045746,2679.0,2223.0,1709.0,4095.0,3707.0,3526.0,4095.0,4095.0
3045846,2755.0,2308.0,1686.0,4095.0,3701.0,3552.0,4095.0,4095.0
3045946,2681.0,2260.0,1621.0,4095.0,3703.0,3529.0,4095.0,4095.0
3046046,2606.0,2206.0,1600.0,4095.0,3628.0,3512.0,4095.0,4095.0
3046146,2695.0,2207.0,1671.0,4095.0,3645.0,3553.0,4095.0,4095.0
3046246,2600.0,2200.0,1600.0,4095.0,3701.0,3526.0,4095.0,4095.0
3046346,2620.0,2166.0,1615.0,4095.0,3719.0,3506.0,4095.0,4095.0
3046446,2777.0,2252.0,1606.0,4095.0,3703.0,3531.0,4095.0,4095.0
3046546,2703.0,2255.0,1640.0,4095.0,3639.0,3501.0,4095.0,4095.0
3046646,2783.0,2280.0,1600.0,4095.0,3741.0,3520.0,4095.0,4095.0
3046746,2618.0,2201.0,1699.0,4095.0,3659.0,3553.0,4095.0,4095.0
3046846,2679.0,2243.0,1709.0,4095.0,3723.0,3510.0,4095.0,4095.0
3046946,2774.0,2264.0,1615.0,4095.0,3724.0,3488.0,4095.0,4095.0
3047046,2779.0,2271.0,1606.0,4095.0,3630.0,3510.0,4095.0,4095.0
3047146,2725.0,2285.0,1687.0,4095.0,3709.0,3557.0,4095.0,4095.0
3047246,2752.0,2252.0,1631.0,4095.0,3629.0,3505.0,4095.0,4095.0
3047346,2681.0,2297.0,1707.0,4095.0,3685.0,3557.0,4095.0,4095.0
3048346,2696.0,2208.0,1659.0,4095.0,3685.0,3510.0,4095.0,4095.0
3048446,2592.0,2208.0,1600.0,4095.0,3427.0,3515.0,4095.0,4095.0
3048546,2620.0,2216.0,1707.0,4095.0,3673.0,3509.0,4095.0,4095.0
3048646,2783.0,2270.0,1600.0,4095.0,3439.0,3268.0,4095.0,4095.0
3049612,2705.0,2283.0,1701.0,4095.0,3667.0,3537.0,4095.0,4095.0
3049712,2747.0,2218.0,1635.0,4095.0,3685.0,3532.0,4095.0,4095.0
3049812,2771.0,2264.0,1623.0,4095.0,3669.0,3486.0,4095.0,4095.0
3049912,2683.0,2263.0,1711.0,4095.0,3700.0,3531.0,4095.0,4095.0
3050012,2710.0,2222.0,1651.0,4095.0,3680.0,3494.0,4095.0,4095.0
3050112,2767.0,2315.0,1688.0,4095.0,3641.0,3539.0,4095.0,4095.0
3050212,2731.0,2271.0,1709.0,4095.0,3695.0,3571.0,4095.0,4095.0
3050312,2735.0,2269.0,1657.0,4095.0,3749.0,3456.0,4095.0,4095.0
3050412,2730.0,2224.0,1648.0,4095.0,3624.0,3507.0,4095.0,4095.0
3050512,2632.0,2215.0,1711.0,4095.0,3707.0,3520.0,4095.0,4095.0
3050612,2739.0,2237.0,1648.0,4095.0,3655.0,3274.0,4095.0,4095.0
3050712,2729.0,2299.0,1702.0,4095.0,3703.0,3505.0,4095.0,4095.0
3050812,2721.0,2315.0,1705.0,4095.0,3628.0,3533.0,4095.0,4095.0
3050912,2791.0,2313.0,1631.0,4095.0,3640.0,3531.0,4095.0,4095.0
3051012,2739.0,2271.0,1661.0,4095.0,3702.0,3480.0,4095.0,4095.0
3051112,2727.0,2263.0,1677.0,4095.0,3674.0,3499.0,4095.0,4095.0
3051212,2688.0,2055.0,1597.0,4095.0,3720.0,3481.0,4095.0,4095.0
3051312,2626.0,2227.0,1707.0,4095.0,3699.0,3529.0,4095.0,4095.0
3051462,2640.0,2172.0,1675.0,4095.0,3691.0,3485.0,4095.0,4095.0
3051562,2775.0,2279.0,1600.0,4095.0,3616.0,3508.0,4095.0,4095.0
3051712,2759.0,2297.0,1624.0,4095.0,3647.0,3535.0,4095.0,4095.0
3051712,2675.0,2271.0,1708.0,4095.0,3629.0,3540.0,4095.0,4095.0
3052312,2693.0,2307.0,1703.0,4095.0,3664.0,3494.0,4095.0,4095.0
3052412,2775.0,2256.0,1608.0,4095.0,3739.0,3452.0,4095.0,4095.0
3052512,2699.0,2261.0,1632.0,4095.0,3703.0,3511.0,4095.0,4095.0
3052612,2608.0,2199.0,1703.0,4095.0,3729.0,3454.0,4095.0,4095.0
3052912,2705.0,2281.0,1696.0,4095.0,3658.0,3528.0,4095.0,4095.0
3053196,2620.0,2176.0,1687.0,4095.0,3616.0,3548.0,4095.0,4095.0
3053296,2735.0,2319.0,1703.0,4095.0,3724.0,3542.0,4095.0,4095.0
3053396,2703.0,2335.0,1642.0,4095.0,3701.0,3543.0,4095.0,4095.0
3053496,2659.0,2339.0,1695.0,4095.0,3641.0,3543.0,4095.0,4095.0
3053596,2511.0,2255.0,1671.0,4095.0,3701.0,3561.0,4095.0,4095.0
3053696,2680.0,2207.0,1600.0,4095.0,3669.0,3561.0,4095.0,4095.0
3053796,2776.0,2285.0,1623.0,4095.0,3722.0,3467.0,4095.0,4095.0
3053946,2747.0,2200.0,1637.0,4095.0,3683.0,3559.0,4095.0,4095.0
3053946,2700.0,2172.0,1655.0,4095.0,3631.0,3527.0,4095.0,4095.0
3054096,2656.0,2176.0,1679.0,4095.0,3668.0,3556.0,4095.0,4095.0
3054196,2720.0,2176.0,1655.0,4095.0,3725.0,3451.0,4095.0,4095.0
3054296,2787.0,2313.0,1623.0,4095.0,3739.0,3448.0,4095.0,4095.0
3054396,2771.0,2315.0,1644.0,4095.0,3623.0,3506.0,4095.0,4095.0
3054496,2675.0,2287.0,1709.0,4095.0,3720.0,3480.0,4095.0,4095.0
3054596,2608.0,2201.0,1701.0,4095.0,3707.0,3502.0,4095.0,4095.0
3054696,2663.0,2243.0,1713.0,4095.0,3623.0,3545.0,4095.0,4095.0
3054796,2703.0,2311.0,1696.0,4095.0,3687.0,3531.0,4095.0,4095.0
3054896,2631.0,2247.0,1715.0,4095.0,3701.0,3520.0,4095.0,4095.0
3055046,2718.0,2251.0,1644.0,4095.0,3625.0,3535.0,4095.0,4095.0
3055146,2783.0,2280.0,1600.0,4095.0,3614.0,3493.0,4095.0,4095.0
3055246,2665.0,2261.0,1711.0,4095.0,3721.0,3527.0,4095.0,4095.0
3055346,2683.0,2275.0,1703.0,4095.0,3635.0,3533.0,4095.0,4095.0
3055446,2623.0,2244.0,1707.0,4095.0,3704.0,3542.0,4095.0,4095.0
3055546,2608.0,2207.0,1699.0,4095.0,3615.0,3524.0,4095.0,4095.0
3055646,2625.0,2247.0,1707.0,4095.0,3629.0,3557.0,4095.0,4095.0
3055746,2680.0,2236.0,1615.0,4095.0,3614.0,3512.0,4095.0,4095.0
3055846,2652.0,2168.0,1667.0,4095.0,3621.0,3507.0,4095.0,4095.0
3055946,2608.0,2176.0,1691.0,4095.0,3626.0,3485.0,4095.0,4095.0
3056096,2643.0,2287.0,1664.0,4095.0,3616.0,3501.0,4095.0,4095.0
3056196,2615.0,2224.0,1687.0,4095.0,3729.0,3454.0,4095.0,4095.0
