Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee
8724,3040.0,4095.0,3063.0,3991.0,3511.0,2011.0,4095.0,4095.0
8824,2928.0,4095.0,3073.0,4039.0,3511.0,2009.0,4095.0,4095.0
9124,3092.0,4049.0,3015.0,3872.0,3788.0,1944.0,4095.0,4095.0
9574,2943.0,4095.0,2855.0,3952.0,3847.0,1936.0,4051.0,4095.0
9674,2929.0,4063.0,2859.0,3951.0,3829.0,1933.0,4031.0,4095.0
10024,2899.0,4071.0,2852.0,3943.0,3743.0,1960.0,4064.0,4095.0
10124,2999.0,4064.0,2816.0,4095.0,3782.0,1948.0,4081.0,4095.0
10224,3068.0,4095.0,2999.0,3936.0,3501.0,2029.0,4095.0,4095.0
10324,2911.0,4080.0,2848.0,4083.0,3512.0,2003.0,4095.0,4095.0
10424,2864.0,4095.0,2976.0,4009.0,3498.0,2043.0,4095.0,4095.0
10624,2075.0,2771.0,1976.0,3960.0,4095.0,1813.0,4095.0,4095.0
10724,2177.0,2921.0,1998.0,4032.0,3796.0,1945.0,4095.0,4095.0
10824,2097.0,2760.0,1980.0,3915.0,3660.0,1976.0,4095.0,4095.0
11174,2079.0,2752.0,1969.0,3919.0,3587.0,1979.0,4095.0,4095.0
11274,2081.0,2747.0,1976.0,3893.0,3568.0,1976.0,4095.0,4095.0
11374,2080.0,2752.0,2003.0,3877.0,3564.0,1974.0,4095.0,4095.0
11624,2143.0,2943.0,2135.0,4095.0,3568.0,1994.0,4095.0,4095.0
11724,2105.0,2776.0,1999.0,4095.0,3563.0,1984.0,4095.0,4095.0
11874,2100.0,2776.0,2096.0,4095.0,3576.0,1981.0,4095.0,4095.0
11974,2063.0,2745.0,1987.0,4095.0,3593.0,1980.0,4095.0,4095.0
12274,2030.0,2833.0,2095.0,4095.0,3619.0,1968.0,4095.0,4095.0
12374,2191.0,2720.0,1959.0,4095.0,3580.0,1971.0,4095.0,4095.0
12474,2079.0,2911.0,2045.0,4095.0,3587.0,1967.0,4095.0,4095.0
12574,2040.0,2871.0,2079.0,4095.0,3583.0,1982.0,4095.0,4095.0
12674,2024.0,2871.0,2087.0,4095.0,3563.0,1969.0,4095.0,4095.0
12774,2119.0,2913.0,2008.0,4095.0,3547.0,1975.0,4095.0,4095.0
12874,2079.0,2911.0,2040.0,4095.0,3564.0,2000.0,4095.0,4095.0
12974,2136.0,2680.0,2019.0,4095.0,3623.0,1988.0,4095.0,4095.0
13074,2041.0,2747.0,1952.0,4095.0,3639.0,1963.0,4095.0,4095.0
13174,2087.0,2911.0,2019.0,4095.0,3611.0,1965.0,4095.0,4095.0
13274,2175.0,2808.0,1904.0,4064.0,3605.0,1960.0,4095.0,4095.0
13374,2020.0,2919.0,2069.0,4095.0,3612.0,1960.0,4095.0,4095.0
13474,2095.0,2860.0,1968.0,4095.0,3614.0,1964.0,4095.0,4095.0
13574,2019.0,2731.0,1976.0,4083.0,3639.0,1964.0,4095.0,4095.0
13674,2055.0,2680.0,1967.0,4095.0,3630.0,1976.0,4095.0,4095.0
13774,2040.0,2748.0,2048.0,4087.0,3612.0,1963.0,4095.0,4095.0
13874,2025.0,2721.0,1952.0,4095.0,3625.0,1980.0,4095.0,4095.0
13974,2039.0,2723.0,1944.0,4095.0,3612.0,1968.0,4095.0,4095.0
14074,2063.0,2733.0,2012.0,4063.0,3603.0,1973.0,4095.0,4095.0
14174,2128.0,2672.0,2003.0,4095.0,3631.0,1976.0,4095.0,4095.0
14274,2024.0,2741.0,1944.0,4095.0,3599.0,1969.0,4095.0,4095.0
14374,2029.0,2734.0,2032.0,4095.0,3627.0,1979.0,4095.0,4095.0
14474,2031.0,2715.0,1944.0,4094.0,3599.0,1974.0,4095.0,4095.0
14574,1984.0,2859.0,2079.0,4095.0,3613.0,1968.0,4095.0,4095.0
14674,2035.0,2715.0,2040.0,4073.0,3607.0,1963.0,4095.0,4095.0
14774,2025.0,2767.0,1929.0,4083.0,3601.0,1967.0,4095.0,4095.0
14874,2033.0,2736.0,1936.0,4073.0,3640.0,1977.0,4095.0,4095.0
14974,2007.0,2715.0,1968.0,4095.0,3599.0,1984.0,4095.0,4095.0
15074,2007.0,2748.0,1998.0,4093.0,3611.0,1980.0,4095.0,4095.0
15324,2136.0,2672.0,1987.0,4095.0,3624.0,1961.0,4095.0,4095.0
15524,2023.0,2713.0,1999.0,4095.0,3611.0,1970.0,4095.0,4095.0
15624,1976.0,2855.0,2071.0,4095.0,3619.0,1972.0,4095.0,4095.0
15724,2021.0,2713.0,1936.0,4095.0,3624.0,1969.0,4095.0,4095.0
15824,2007.0,2736.0,1976.0,4095.0,3599.0,1972.0,4095.0,4095.0
15924,2001.0,2740.0,1952.0,4095.0,3633.0,1987.0,4095.0,4095.0
16024,2003.0,2713.0,1982.0,4095.0,3617.0,1991.0,4095.0,4095.0
16124,2009.0,2713.0,1943.0,4095.0,3651.0,1977.0,4095.0,4095.0
16224,2024.0,2736.0,2040.0,4075.0,3621.0,1980.0,4095.0,4095.0
16374,2019.0,2738.0,1936.0,4095.0,3616.0,1979.0,4095.0,4095.0
16524,2115.0,2844.0,1920.0,4095.0,3609.0,1980.0,4095.0,4095.0
16624,2122.0,2755.0,2019.0,4076.0,3635.0,1975.0,4095.0,4095.0
16724,1992.0,2903.0,2061.0,4095.0,3623.0,1989.0,4095.0,4095.0
16824,2151.0,2752.0,1904.0,4048.0,3608.0,1971.0,4095.0,4095.0
16924,2008.0,2775.0,2063.0,4095.0,3603.0,1972.0,4095.0,4095.0
17024,2040.0,2739.0,2039.0,4095.0,3607.0,1972.0,4095.0,4095.0
17124,2126.0,2735.0,1983.0,4072.0,3608.0,1968.0,4095.0,4095.0
17224,2021.0,2715.0,2032.0,4057.0,3603.0,1976.0,4095.0,4095.0
17324,1968.0,2833.0,2063.0,4095.0,3619.0,1975.0,4095.0,4095.0
17524,2151.0,2792.0,1884.0,4079.0,3608.0,1968.0,4095.0,4095.0
17624,2023.0,2720.0,2079.0,4085.0,3621.0,1981.0,4095.0,4095.0
17774,2037.0,2715.0,2032.0,4073.0,3609.0,1980.0,4095.0,4095.0
17924,2008.0,2720.0,1936.0,4095.0,3637.0,1976.0,4095.0,4095.0
18024,2025.0,2745.0,1932.0,4075.0,3623.0,1975.0,4095.0,4095.0
18124,2021.0,2709.0,2032.0,4071.0,3627.0,1960.0,4095.0,4095.0
18224,2006.0,2759.0,1936.0,4095.0,3607.0,1963.0,4095.0,4095.0
18374,2009.0,2724.0,2016.0,4095.0,3672.0,1976.0,4095.0,4095.0
18474,2000.0,2736.0,1952.0,4095.0,4095.0,1763.0,4095.0,4095.0
18724,2124.0,2755.0,2080.0,4095.0,3816.0,1930.0,4095.0,4095.0
18824,2032.0,2760.0,1980.0,4091.0,3783.0,1937.0,4095.0,4095.0
18924,2103.0,2743.0,2048.0,4095.0,3668.0,1984.0,4095.0,4095.0
19024,2080.0,2752.0,2042.0,4095.0,3613.0,2000.0,4095.0,4095.0
